"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","London","120","120","44670","39820"
"In post","2022","Asian","Analysis","Economics","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","London","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Medicine","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","London","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Delivery","Outside London","30","30","38010","36830"
"In post","2022","Asian","Analysis","Operational Research","London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Outside London","15","10","[c]","[c]"
"In post","2022","Asian","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Other","London","45","45","49000","43980"
"In post","2022","Asian","Analysis","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","London","45","45","47360","43250"
"In post","2022","Asian","Analysis","Policy","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Science and Engineering","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Social Research","London","20","20","[c]","[c]"
