"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AO","Heterosexual / straight","165","160","21930","21290"
"In post","2022","Analysis","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","AO","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","AO","Unknown","50","50","21580","21510"
"In post","2022","Analysis","EO","Heterosexual / straight","540","515","27060","26680"
"In post","2022","Analysis","EO","LGBO","60","60","26310","25880"
"In post","2022","Analysis","EO","Undeclared","55","55","26690","26810"
"In post","2022","Analysis","EO","Unknown","220","205","26430","25790"
"In post","2022","Analysis","G6","Heterosexual / straight","510","480","72310","67910"
"In post","2022","Analysis","G6","LGBO","35","35","67940","66350"
"In post","2022","Analysis","G6","Undeclared","70","65","73560","68900"
"In post","2022","Analysis","G6","Unknown","75","75","68900","66370"
"In post","2022","Analysis","G7","Heterosexual / straight","1380","1325","55170","54270"
"In post","2022","Analysis","G7","LGBO","120","120","55180","54110"
"In post","2022","Analysis","G7","Undeclared","180","170","56150","54760"
"In post","2022","Analysis","G7","Unknown","445","425","53080","51750"
"In post","2022","Analysis","HEO","Heterosexual / straight","1570","1530","33460","33120"
"In post","2022","Analysis","HEO","LGBO","210","205","33070","32830"
"In post","2022","Analysis","HEO","Undeclared","185","180","33660","33000"
"In post","2022","Analysis","HEO","Unknown","520","505","32230","30710"
"In post","2022","Analysis","SCS level","Heterosexual / straight","145","140","88570","79990"
"In post","2022","Analysis","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","SCS level","Unknown","20","20","[c]","[c]"
