"Status","Year","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","London","20","20","41620","35070"
"In post","2022","Analysis","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","London","195","185","67500","60780"
"In post","2022","Analysis","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Scotland","15","15","64930","57250"
"In post","2022","Analysis","Competition and Markets Authority","London","130","125","62170","56360"
"In post","2022","Analysis","Competition and Markets Authority","Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","London","270","265","44180","37900"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","20","20","33660","32060"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Wales","60","60","35570","32100"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","East Midlands (England)","10","10","41670","41990"
"In post","2022","Analysis","Department for Education","London","70","65","49030","45940"
"In post","2022","Analysis","Department for Education","North East (England)","10","10","44680","46220"
"In post","2022","Analysis","Department for Education","North West (England)","25","25","38800","37590"
"In post","2022","Analysis","Department for Education","South West (England)","20","20","37340","39240"
