"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","AA","60","50","21120","21250"
"In post","2022","Declared disabled","Asian","AO","745","645","22830","21410"
"In post","2022","Declared disabled","Asian","EO","1105","1015","28600","27570"
"In post","2022","Declared disabled","Asian","G6","70","65","68840","67910"
"In post","2022","Declared disabled","Asian","G7","220","210","55690","54700"
"In post","2022","Declared disabled","Asian","HEO","475","455","34580","34020"
"In post","2022","Declared disabled","Asian","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","SEO","310","305","41880","41000"
"In post","2022","Declared disabled","Asian","Unknown","130","120","29910","28200"
"In post","2022","Declared disabled","Black","AA","55","50","22340","21860"
"In post","2022","Declared disabled","Black","AO","410","370","24310","23720"
"In post","2022","Declared disabled","Black","EO","730","685","29530","29870"
"In post","2022","Declared disabled","Black","G6","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","G7","135","135","56440","54700"
"In post","2022","Declared disabled","Black","HEO","275","270","35060","35050"
"In post","2022","Declared disabled","Black","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO","165","160","42480","41750"
"In post","2022","Declared disabled","Black","Unknown","260","250","32840","31420"
"In post","2022","Declared disabled","Mixed","AA","30","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AO","290","265","22930","21260"
"In post","2022","Declared disabled","Mixed","EO","400","370","28430","27570"
"In post","2022","Declared disabled","Mixed","G6","35","30","67900","66360"
"In post","2022","Declared disabled","Mixed","G7","135","130","55490","54540"
"In post","2022","Declared disabled","Mixed","HEO","235","225","34480","33900"
"In post","2022","Declared disabled","Mixed","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SEO","120","115","42220","41360"
"In post","2022","Declared disabled","Mixed","Unknown","140","135","32220","30210"
"In post","2022","Declared disabled","Other ethnicity","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","AO","60","60","23500","21410"
"In post","2022","Declared disabled","Other ethnicity","EO","115","110","28750","27570"
"In post","2022","Declared disabled","Other ethnicity","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G7","40","35","54700","53760"
"In post","2022","Declared disabled","Other ethnicity","HEO","80","80","34570","33810"
"In post","2022","Declared disabled","Other ethnicity","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SEO","35","35","41410","40670"
