"Status","Year","Age","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
