"Status","Year","Age","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","Female","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","Male","10","10","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","Science and Engineering","Male","15","15","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Finance","Female","10","10","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Finance","Male","10","10","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Other","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Other","Male","20","20","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Science and Engineering","Female","10","10","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","Science and Engineering","Male","55","55","18120","17140"
"In post","2022","16-19","Defence Science and Technology Laboratory","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
