"Status","Year","Organisation","Region_ITL1","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Scotland","Southern Scotland","Outside London","110","100","32660","30040"
"In post","2022","Accountant in Bankruptcy","Scotland","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","105","95","28840","26380"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","East Anglia","Outside London","40","40","34500","34380"
"In post","2022","Advisory, Conciliation and Arbitration Service","East of England","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","Inner London - West","London","190","180","42690","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Northumberland, and Tyne and Wear","Outside London","140","130","29880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North East (England)","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Greater Manchester","Outside London","135","125","30120","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","North West (England)","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Scotland","West Central Scotland","Outside London","90","80","31610","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Hampshire and Isle of Wight","Outside London","25","25","34470","34500"
"In post","2022","Advisory, Conciliation and Arbitration Service","South East (England)","Kent","Outside London","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","45","45","32720","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","East Wales","Outside London","80","75","30750","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Wales","West Wales and The Valleys","Outside London","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","West Midlands (England)","West Midlands","Outside London","80","75","31330","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Yorkshire and The Humber","West Yorkshire","Outside London","70","65","31460","30950"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","40","40","31760","29180"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","20","20","33650","35900"
"In post","2022","Animal and Plant Health Agency","East Midlands (England)","Lincolnshire","Outside London","25","25","33510","29800"
"In post","2022","Animal and Plant Health Agency","East of England","Bedfordshire and Hertfordshire","Outside London","10","10","33670","30670"
