"Status","Year","Age","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","AA/AO","45","40","21310","21250"
"In post","2022","16-19","Asian","No function","EO","15","15","[c]","[c]"
"In post","2022","16-19","Asian","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","No function","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Debt","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Debt","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","No function","EO","[c]","[c]","[c]","[c]"
