"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Sheffield","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Sheffield","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Westminster","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","Wiltshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Wiltshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","East Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","East Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Bristol, City of","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Camden and City of London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Camden and City of London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Cardiff and Vale of Glamorgan","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Central Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","City of Edinburgh","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","City of Edinburgh","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Coventry","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Coventry","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Darlington","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Darlington","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Manchester","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Manchester","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Sheffield","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Swindon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Swindon","Male","[c]","[c]","[c]","[c]"
