"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA/AO","AA","35","30","22320","21640"
"In post","2022","Commercial","AA/AO","AO","290","265","22590","21840"
"In post","2022","Commercial","EO","EO","905","860","26470","26350"
"In post","2022","Commercial","G6/G7","G6","390","380","68090","66930"
"In post","2022","Commercial","G6/G7","G7","840","815","53300","53360"
"In post","2022","Commercial","SCS level","SCS level","105","105","87010","79580"
"In post","2022","Commercial","SEO/HEO","HEO","1545","1485","32530","32790"
"In post","2022","Commercial","SEO/HEO","SEO","1900","1840","40880","40580"
"In post","2022","Commercial","Unknown","Unknown","195","195","39900","38240"
"In post","2022","Communications","AA/AO","AA","15","15","20400","20060"
"In post","2022","Communications","AA/AO","AO","195","185","22470","21830"
"In post","2022","Communications","EO","EO","600","575","27740","27270"
"In post","2022","Communications","G6/G7","G6","320","310","67240","66230"
"In post","2022","Communications","G6/G7","G7","765","740","54990","54540"
"In post","2022","Communications","SCS level","SCS level","110","110","88830","83450"
"In post","2022","Communications","SEO/HEO","HEO","1105","1070","34340","33370"
"In post","2022","Communications","SEO/HEO","SEO","1045","1010","41780","41100"
"In post","2022","Communications","Unknown","Unknown","15","15","36710","31420"
"In post","2022","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","EO","EO","15","15","26290","26500"
"In post","2022","Corporate Finance","G6/G7","G6","20","20","68350","67160"
"In post","2022","Corporate Finance","G6/G7","G7","35","35","53200","52110"
"In post","2022","Corporate Finance","SCS level","SCS level","10","10","98840","94550"
"In post","2022","Corporate Finance","SEO/HEO","HEO","30","30","33790","34550"
"In post","2022","Corporate Finance","SEO/HEO","SEO","25","25","42440","42000"
"In post","2022","Counter Fraud","AA/AO","AA","25","20","20380","20480"
"In post","2022","Counter Fraud","AA/AO","AO","1470","1255","22530","21260"
"In post","2022","Counter Fraud","EO","EO","3620","3245","28150","27570"
"In post","2022","Counter Fraud","G6/G7","G6","50","50","69940","68590"
"In post","2022","Counter Fraud","G6/G7","G7","115","115","55450","54230"
"In post","2022","Counter Fraud","SCS level","SCS level","10","10","89430","80000"
"In post","2022","Counter Fraud","SEO/HEO","HEO","985","935","33890","33100"
"In post","2022","Counter Fraud","SEO/HEO","SEO","315","300","40300","40000"
"In post","2022","Digital, Data and Technology","AA/AO","AA","85","80","19600","19380"
"In post","2022","Digital, Data and Technology","AA/AO","AO","585","565","22240","21480"
"In post","2022","Digital, Data and Technology","EO","EO","3475","3330","27740","27570"
"In post","2022","Digital, Data and Technology","G6/G7","G6","1290","1270","69010","67910"
"In post","2022","Digital, Data and Technology","G6/G7","G7","4310","4230","55440","54760"
"In post","2022","Digital, Data and Technology","SCS level","SCS level","290","285","91930","87250"
"In post","2022","Digital, Data and Technology","SEO/HEO","HEO","4770","4635","33810","33300"
"In post","2022","Digital, Data and Technology","SEO/HEO","SEO","5170","5060","41490","40580"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","40","40","35070","32300"
