"Status","Year","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Female","3970","3735","42540","38340"
"In post","2022","Analysis","Male","4475","4395","44540","39300"
"In post","2022","Analysis","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","Female","3405","3265","44700","39990"
"In post","2022","Commercial","Male","3210","3170","50330","42550"
"In post","2022","Communications","Female","4570","4340","36770","33080"
"In post","2022","Communications","Male","3970","3925","35220","32330"
"In post","2022","Counter Fraud","Female","8990","8040","31160","27570"
"In post","2022","Counter Fraud","Male","8035","7715","34060","31880"
"In post","2022","Debt","Female","4175","3530","23690","21260"
"In post","2022","Debt","Male","2645","2515","23950","21260"
"In post","2022","Digital, Data & Technology","Female","8250","7855","40090","36820"
"In post","2022","Digital, Data & Technology","Male","13805","13580","42210","39040"
"In post","2022","Finance","Female","6870","6340","37450","33370"
"In post","2022","Finance","Male","5505","5390","41700","37610"
"In post","2022","Grants Management","Female","1355","1190","24850","21300"
"In post","2022","Grants Management","Male","970","940","25680","21300"
"In post","2022","Human Resources","Female","8080","7545","37340","33300"
"In post","2022","Human Resources","Male","3640","3560","38510","33520"
"In post","2022","Internal Audit","Female","410","385","44380","42210"
"In post","2022","Internal Audit","Male","355","345","48290","45390"
"In post","2022","Legal","Female","8070","7355","45420","48080"
"In post","2022","Legal","Male","4335","4215","49230","51250"
"In post","2022","No function","Female","159665","143505","30770","27570"
"In post","2022","No function","Male","114855","110540","33440","29180"
"In post","2022","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Female","11840","11110","41030","38070"
"In post","2022","Project Delivery","Male","14720","14415","43080","40520"
"In post","2022","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Female","4135","3865","34730","31900"
"In post","2022","Property","Male","5410","5280","38240","33900"
"In post","2022","Security","Female","2755","2650","33210","31380"
"In post","2022","Security","Male","7930","7785","32790","31180"
"In post","2022","Unknown","Female","41515","38475","34330","29370"
"In post","2022","Unknown","Male","38145","37120","35590","30820"
"Leaver CS","2022","Analysis","Female","230","[c]","35020","31850"
"Leaver CS","2022","Analysis","Male","310","[c]","38620","34380"
"Leaver CS","2022","Commercial","Female","240","[c]","49220","40580"
"Leaver CS","2022","Commercial","Male","280","[c]","55250","49980"
"Leaver CS","2022","Communications","Female","245","[c]","40230","36750"
"Leaver CS","2022","Communications","Male","170","[c]","42450","38150"
"Leaver CS","2022","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","190","[c]","27980","27570"
"Leaver CS","2022","Counter Fraud","Male","160","[c]","31110","27570"
"Leaver CS","2022","Debt","Female","135","[c]","22420","21260"
"Leaver CS","2022","Debt","Male","90","[c]","22610","21260"
"Leaver CS","2022","Digital, Data & Technology","Female","445","[c]","39960","35160"
"Leaver CS","2022","Digital, Data & Technology","Male","955","[c]","42230","38680"
"Leaver CS","2022","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Female","250","[c]","37100","33300"
"Leaver CS","2022","Finance","Male","260","[c]","41980","37270"
"Leaver CS","2022","Grants Management","Female","80","[c]","24790","21300"
"Leaver CS","2022","Grants Management","Male","75","[c]","23780","21300"
"Leaver CS","2022","Human Resources","Female","455","[c]","35080","30420"
"Leaver CS","2022","Human Resources","Male","210","[c]","36470","32650"
"Leaver CS","2022","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Female","20","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Male","35","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Female","455","[c]","44410","43520"
"Leaver CS","2022","Legal","Male","290","[c]","49630","52390"
"Leaver CS","2022","No function","Female","13845","[c]","30680","27570"
"Leaver CS","2022","No function","Male","10610","[c]","32540","27570"
"Leaver CS","2022","Project Delivery","Female","470","[c]","38390","34290"
"Leaver CS","2022","Project Delivery","Male","830","[c]","39740","37400"
"Leaver CS","2022","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Female","255","[c]","29480","22130"
"Leaver CS","2022","Property","Male","355","[c]","34710","30870"
"Leaver CS","2022","Security","Female","170","[c]","30600","27680"
"Leaver CS","2022","Security","Male","640","[c]","32400","29250"
"Leaver CS","2022","Unknown","Female","5935","[c]","30090","26350"
"Leaver CS","2022","Unknown","Male","5525","[c]","33260","28180"
"Leaver Dept.","2022","Analysis","Female","250","[c]","40380","37380"
"Leaver Dept.","2022","Analysis","Male","290","[c]","42080","38020"
"Leaver Dept.","2022","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Commercial","Female","255","[c]","42200","39360"
"Leaver Dept.","2022","Commercial","Male","205","[c]","47020","42270"
"Leaver Dept.","2022","Communications","Female","280","[c]","41480","37290"
"Leaver Dept.","2022","Communications","Male","200","[c]","43060","37710"
"Leaver Dept.","2022","Counter Fraud","Female","75","[c]","31160","27570"
"Leaver Dept.","2022","Counter Fraud","Male","75","[c]","32050","27610"
"Leaver Dept.","2022","Debt","Female","35","[c]","23180","21260"
"Leaver Dept.","2022","Debt","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Digital, Data & Technology","Female","345","[c]","41110","36780"
"Leaver Dept.","2022","Digital, Data & Technology","Male","435","[c]","42640","38000"
"Leaver Dept.","2022","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Finance","Female","310","[c]","39860","35390"
"Leaver Dept.","2022","Finance","Male","285","[c]","43240","39960"
