"Status","Year","Age","Function_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Monmouthshire and Newport","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Monmouthshire and Newport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Sheffield","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Sheffield","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Suffolk CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Suffolk CC","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Westminster","Female","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Westminster","Male","[c]","[c]","[c]","[c]"
