"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AO","Female","Heterosexual / straight","85","80","22070","21510"
"In post","2022","Analysis","AO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","AO","Female","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","AO","Male","Heterosexual / straight","80","80","21790","21260"
"In post","2022","Analysis","AO","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","AO","Male","Unknown","25","20","[c]","[c]"
"In post","2022","Analysis","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Female","Heterosexual / straight","265","250","27040","26670"
"In post","2022","Analysis","EO","Female","LGBO","30","30","26250","25880"
"In post","2022","Analysis","EO","Female","Undeclared","35","30","26760","27270"
"In post","2022","Analysis","EO","Female","Unknown","115","105","26210","25460"
"In post","2022","Analysis","EO","Male","Heterosexual / straight","270","265","27100","26820"
"In post","2022","Analysis","EO","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","EO","Male","Unknown","100","95","26700","26250"
"In post","2022","Analysis","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6","Female","Heterosexual / straight","250","225","70100","66610"
"In post","2022","Analysis","G6","Female","LGBO","20","15","[c]","[c]"
"In post","2022","Analysis","G6","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Analysis","G6","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","G6","Male","Heterosexual / straight","260","255","74440","68950"
"In post","2022","Analysis","G6","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","G6","Male","Undeclared","40","40","75860","70130"
"In post","2022","Analysis","G6","Male","Unknown","55","55","69430","66370"
"In post","2022","Analysis","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","G7","Female","Heterosexual / straight","640","590","54900","54110"
"In post","2022","Analysis","G7","Female","LGBO","60","55","54760","53360"
"In post","2022","Analysis","G7","Female","Undeclared","75","70","56640","55060"
"In post","2022","Analysis","G7","Female","Unknown","150","140","52690","51210"
"In post","2022","Analysis","G7","Male","Heterosexual / straight","740","730","55410","54730"
"In post","2022","Analysis","G7","Male","LGBO","65","65","55560","54650"
"In post","2022","Analysis","G7","Male","Undeclared","100","100","55840","54760"
"In post","2022","Analysis","G7","Male","Unknown","295","285","53280","52110"
