"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Commercial","London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","London","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Commercial","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Commercial","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Communications","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Corporate Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","London","Female","30","30","48410","45250"
"In post","2022","Analysis","Digital, Data and Technology","London","Male","35","35","51870","53420"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","North West (England)","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South West (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Wales","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Wales","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","London","Female","380","365","47710","40740"
"In post","2022","Analysis","Economics","London","Male","690","685","49900","51710"
"In post","2022","Analysis","Economics","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North East (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","North West (England)","Male","40","40","40280","34960"
"In post","2022","Analysis","Economics","Scotland","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Scotland","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","South East (England)","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","South East (England)","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South West (England)","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Wales","Female","50","50","33580","30710"
"In post","2022","Analysis","Economics","Wales","Male","85","85","34730","30710"
"In post","2022","Analysis","Economics","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Female","10","5","[c]","[c]"
"In post","2022","Analysis","Economics","Yorkshire and The Humber","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Finance","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","London","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Finance","London","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Finance","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","North East (England)","Male","[c]","[c]","[c]","[c]"
