"Status","Year","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Ards and North Down","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2022","Ards and North Down","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Ards and North Down","SEO/HEO","HEO","Female","10","10","[c]","[c]"
"In post","2022","Ards and North Down","SEO/HEO","HEO","Male","10","10","[c]","[c]"
"In post","2022","Ards and North Down","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2022","Ards and North Down","SEO/HEO","SEO","Male","10","5","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","EO","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Armagh City, Banbridge and Craigavon","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","AA/AO","AO","Female","65","55","24050","23720"
"In post","2022","Barking & Dagenham and Havering","AA/AO","AO","Male","35","35","26150","25110"
"In post","2022","Barking & Dagenham and Havering","EO","EO","Female","250","225","31000","31060"
"In post","2022","Barking & Dagenham and Havering","EO","EO","Male","165","160","31070","31060"
"In post","2022","Barking & Dagenham and Havering","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","G6/G7","G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","SEO/HEO","HEO","Female","25","20","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","SEO/HEO","HEO","Male","25","20","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","SEO/HEO","SEO","Female","15","15","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","SEO/HEO","SEO","Male","10","10","[c]","[c]"
"In post","2022","Barking & Dagenham and Havering","Unknown","Unknown","Female","75","70","32880","32090"
"In post","2022","Barking & Dagenham and Havering","Unknown","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Barnet","AA/AO","AA","Female","40","25","22410","22350"
"In post","2022","Barnet","AA/AO","AA","Male","15","10","[c]","[c]"
"In post","2022","Barnet","AA/AO","AO","Female","150","125","24590","24060"
"In post","2022","Barnet","AA/AO","AO","Male","60","55","24330","23780"
"In post","2022","Barnet","EO","EO","Female","315","280","29720","31060"
"In post","2022","Barnet","EO","EO","Male","165","160","29600","30470"
"In post","2022","Barnet","G6/G7","G6","Female","45","45","70260","67810"
"In post","2022","Barnet","G6/G7","G6","Male","35","35","70270","70200"
"In post","2022","Barnet","G6/G7","G7","Female","125","120","55610","53860"
"In post","2022","Barnet","G6/G7","G7","Male","105","105","57820","55130"
"In post","2022","Barnet","SCS level","SCS level","Female","25","20","[c]","[c]"
"In post","2022","Barnet","SCS level","SCS level","Male","25","20","[c]","[c]"
"In post","2022","Barnet","SEO/HEO","HEO","Female","185","180","34230","33330"
"In post","2022","Barnet","SEO/HEO","HEO","Male","90","90","35190","35050"
"In post","2022","Barnet","SEO/HEO","SEO","Female","175","170","42060","40470"
"In post","2022","Barnet","SEO/HEO","SEO","Male","130","125","43530","42550"
"In post","2022","Barnet","Unknown","Unknown","Female","75","70","33130","30200"
"In post","2022","Barnet","Unknown","Unknown","Male","40","35","32550","31040"
"In post","2022","Barnsley, Doncaster and Rotherham","AA/AO","AA","Female","120","110","20680","20890"
"In post","2022","Barnsley, Doncaster and Rotherham","AA/AO","AA","Male","80","75","21000","20890"
"In post","2022","Barnsley, Doncaster and Rotherham","AA/AO","AO","Female","710","590","22200","21260"
"In post","2022","Barnsley, Doncaster and Rotherham","AA/AO","AO","Male","530","505","25990","26100"
"In post","2022","Barnsley, Doncaster and Rotherham","EO","EO","Female","610","515","27600","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","EO","EO","Male","345","325","29820","27570"
"In post","2022","Barnsley, Doncaster and Rotherham","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","G6/G7","G7","Female","20","20","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","G6/G7","G7","Male","15","15","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","Female","145","135","32820","31990"
"In post","2022","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","Male","120","110","36050","36480"
"In post","2022","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","Female","65","65","44490","42290"
"In post","2022","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","Male","40","40","48590","48410"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","Unknown","Female","250","230","28820","28200"
"In post","2022","Barnsley, Doncaster and Rotherham","Unknown","Unknown","Male","55","55","31640","31420"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AA","Female","35","35","20670","20890"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AA","Male","90","85","20360","19810"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","Female","395","340","23190","21550"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","Male","210","200","25370","22540"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","Female","1185","1080","25100","25860"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","Male","1215","1190","25340","25940"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","Female","165","160","67290","65520"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","Male","390","380","68780","67280"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","Female","505","480","52300","53500"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","Male","1075","1060","53330","54000"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","Female","40","40","94550","90520"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","Male","110","105","100960","92690"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","Female","1460","1350","30880","31600"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","Male","1720","1695","31700","32000"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","Female","1200","1125","40230","40050"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","Male","2310","2260","41190","40910"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","Female","595","555","36660","33360"
"In post","2022","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","Male","1045","1035","42520","39860"
"In post","2022","Bedford","AA/AO","AA","Female","20","20","[c]","[c]"
"In post","2022","Bedford","AA/AO","AA","Male","20","20","[c]","[c]"
"In post","2022","Bedford","AA/AO","AO","Female","135","125","25680","26560"
"In post","2022","Bedford","AA/AO","AO","Male","115","115","28550","29260"
"In post","2022","Bedford","EO","EO","Female","155","135","27520","27570"
"In post","2022","Bedford","EO","EO","Male","120","115","27770","27570"
"In post","2022","Bedford","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","G6/G7","G7","Female","10","10","[c]","[c]"
"In post","2022","Bedford","G6/G7","G7","Male","15","15","[c]","[c]"
"In post","2022","Bedford","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Bedford","SEO/HEO","HEO","Female","45","40","34180","33410"
"In post","2022","Bedford","SEO/HEO","HEO","Male","40","40","33730","32740"
"In post","2022","Bedford","SEO/HEO","SEO","Female","30","30","44720","45100"
"In post","2022","Bedford","SEO/HEO","SEO","Male","35","35","44400","41140"
"In post","2022","Bedford","Unknown","Unknown","Female","80","70","28670","26310"
"In post","2022","Bedford","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Belfast","AA/AO","AA","Female","15","15","[c]","[c]"
"In post","2022","Belfast","AA/AO","AA","Male","35","30","19840","20560"
"In post","2022","Belfast","AA/AO","AO","Female","480","405","21500","21250"
"In post","2022","Belfast","AA/AO","AO","Male","440","425","21460","21250"
"In post","2022","Belfast","EO","EO","Female","475","430","26890","26820"
"In post","2022","Belfast","EO","EO","Male","435","430","26800","26590"
"In post","2022","Belfast","G6/G7","G6","Female","20","20","[c]","[c]"
"In post","2022","Belfast","G6/G7","G6","Male","30","30","[c]","[c]"
"In post","2022","Belfast","G6/G7","G7","Female","95","90","53990","55210"
"In post","2022","Belfast","G6/G7","G7","Male","110","110","54820","55210"
"In post","2022","Belfast","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Belfast","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Belfast","SEO/HEO","HEO","Female","340","325","33380","33080"
"In post","2022","Belfast","SEO/HEO","HEO","Male","330","330","33670","33370"
"In post","2022","Belfast","SEO/HEO","SEO","Female","160","150","39940","40180"
"In post","2022","Belfast","SEO/HEO","SEO","Male","155","155","40260","40180"
"In post","2022","Berkshire","AA/AO","AA","Female","35","30","19670","19200"
"In post","2022","Berkshire","AA/AO","AA","Male","55","55","19280","19200"
"In post","2022","Berkshire","AA/AO","AO","Female","310","275","23850","22050"
"In post","2022","Berkshire","AA/AO","AO","Male","580","575","31170","27680"
"In post","2022","Berkshire","EO","EO","Female","440","400","29720","29290"
"In post","2022","Berkshire","EO","EO","Male","325","320","32820","29290"
"In post","2022","Berkshire","G6/G7","G6","Female","25","20","[c]","[c]"
"In post","2022","Berkshire","G6/G7","G6","Male","35","35","68320","67910"
"In post","2022","Berkshire","G6/G7","G7","Female","90","85","55920","53990"
"In post","2022","Berkshire","G6/G7","G7","Male","110","110","55780","54110"
"In post","2022","Berkshire","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Berkshire","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Berkshire","SEO/HEO","HEO","Female","185","175","35180","34600"
"In post","2022","Berkshire","SEO/HEO","HEO","Male","205","200","37370","34290"
"In post","2022","Berkshire","SEO/HEO","SEO","Female","115","105","41760","40520"
"In post","2022","Berkshire","SEO/HEO","SEO","Male","165","160","42660","40580"
"In post","2022","Berkshire","Unknown","Unknown","Female","185","180","29100","25570"
"In post","2022","Berkshire","Unknown","Unknown","Male","50","50","29390","24730"
"In post","2022","Bexley and Greenwich","AA/AO","AA","Female","145","135","23880","24080"
"In post","2022","Bexley and Greenwich","AA/AO","AA","Male","80","80","24350","24080"
"In post","2022","Bexley and Greenwich","AA/AO","AO","Female","305","290","28460","29020"
"In post","2022","Bexley and Greenwich","AA/AO","AO","Male","365","355","31810","32340"
"In post","2022","Bexley and Greenwich","EO","EO","Female","320","295","31380","31060"
"In post","2022","Bexley and Greenwich","EO","EO","Male","225","215","33410","31880"
"In post","2022","Bexley and Greenwich","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2022","Bexley and Greenwich","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Bexley and Greenwich","G6/G7","G7","Female","10","10","[c]","[c]"
"In post","2022","Bexley and Greenwich","G6/G7","G7","Male","10","10","[c]","[c]"
"In post","2022","Bexley and Greenwich","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Bexley and Greenwich","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Bexley and Greenwich","SEO/HEO","HEO","Female","50","45","35930","36310"
"In post","2022","Bexley and Greenwich","SEO/HEO","HEO","Male","105","100","39540","39600"
"In post","2022","Bexley and Greenwich","SEO/HEO","SEO","Female","40","40","47270","46360"
"In post","2022","Bexley and Greenwich","SEO/HEO","SEO","Male","25","25","[c]","[c]"
"In post","2022","Bexley and Greenwich","Unknown","Unknown","Female","65","60","31700","28690"
"In post","2022","Bexley and Greenwich","Unknown","Unknown","Male","40","40","34080","33950"
"In post","2022","Birmingham","AA/AO","AA","Female","155","135","19880","19200"
"In post","2022","Birmingham","AA/AO","AA","Male","120","115","20080","19200"
"In post","2022","Birmingham","AA/AO","AO","Female","2090","1825","21550","21250"
"In post","2022","Birmingham","AA/AO","AO","Male","1390","1330","22150","21250"
"In post","2022","Birmingham","EO","EO","Female","2140","1945","27080","27570"
"In post","2022","Birmingham","EO","EO","Male","1560","1520","27280","26820"
"In post","2022","Birmingham","G6/G7","G6","Female","145","140","67950","67000"
"In post","2022","Birmingham","G6/G7","G6","Male","140","135","70420","67910"
"In post","2022","Birmingham","G6/G7","G7","Female","500","470","53620","53710"
"In post","2022","Birmingham","G6/G7","G7","Male","500","490","54620","55210"
"In post","2022","Birmingham","SCS level","SCS level","Female","50","50","101050","95930"
"In post","2022","Birmingham","SCS level","SCS level","Male","55","50","102700","99480"
"In post","2022","Birmingham","SEO/HEO","HEO","Female","1160","1095","33020","33080"
"In post","2022","Birmingham","SEO/HEO","HEO","Male","1095","1075","33590","33370"
"In post","2022","Birmingham","SEO/HEO","SEO","Female","645","610","40510","40400"
"In post","2022","Birmingham","SEO/HEO","SEO","Male","620","610","41480","40520"
"In post","2022","Birmingham","Unknown","Unknown","Female","500","460","29240","28200"
"In post","2022","Birmingham","Unknown","Unknown","Male","165","155","30460","28200"
"In post","2022","Blackburn with Darwen","AA/AO","AA","Female","5","5","[c]","[c]"
"In post","2022","Blackburn with Darwen","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","AA/AO","AO","Female","85","65","21050","21260"
"In post","2022","Blackburn with Darwen","AA/AO","AO","Male","50","45","22250","21260"
"In post","2022","Blackburn with Darwen","EO","EO","Female","105","85","27440","27570"
"In post","2022","Blackburn with Darwen","EO","EO","Male","95","90","27730","27570"
"In post","2022","Blackburn with Darwen","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","G6/G7","G7","Female","5","5","[c]","[c]"
"In post","2022","Blackburn with Darwen","G6/G7","G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","SEO/HEO","HEO","Female","10","10","[c]","[c]"
"In post","2022","Blackburn with Darwen","SEO/HEO","HEO","Male","20","20","[c]","[c]"
"In post","2022","Blackburn with Darwen","SEO/HEO","SEO","Female","5","5","[c]","[c]"
"In post","2022","Blackburn with Darwen","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Blackburn with Darwen","Unknown","Unknown","Female","65","60","29430","26310"
"In post","2022","Blackburn with Darwen","Unknown","Unknown","Male","20","20","[c]","[c]"
"In post","2022","Blackpool","AA/AO","AA","Female","10","5","[c]","[c]"
"In post","2022","Blackpool","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Blackpool","AA/AO","AO","Female","1155","1000","21110","21260"
"In post","2022","Blackpool","AA/AO","AO","Male","665","645","21190","21260"
"In post","2022","Blackpool","EO","EO","Female","1210","1060","27440","27570"
"In post","2022","Blackpool","EO","EO","Male","705","680","27530","27570"
"In post","2022","Blackpool","G6/G7","G6","Female","55","55","64260","61090"
"In post","2022","Blackpool","G6/G7","G6","Male","90","85","68200","65620"
"In post","2022","Blackpool","G6/G7","G7","Female","195","185","51420","49170"
"In post","2022","Blackpool","G6/G7","G7","Male","200","195","53760","52370"
"In post","2022","Blackpool","SCS level","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Blackpool","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Blackpool","SEO/HEO","HEO","Female","370","340","32400","31990"
"In post","2022","Blackpool","SEO/HEO","HEO","Male","230","220","32570","31990"
"In post","2022","Blackpool","SEO/HEO","SEO","Female","310","290","37000","35610"
"In post","2022","Blackpool","SEO/HEO","SEO","Male","240","235","38970","37390"
"In post","2022","Blackpool","Unknown","Unknown","Female","75","75","28380","24800"
"In post","2022","Blackpool","Unknown","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","AA/AO","AA","Female","15","10","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","AA/AO","AA","Male","30","30","19070","19050"
"In post","2022","Bournemouth, Christchurch and Poole","AA/AO","AO","Female","85","75","21190","20970"
"In post","2022","Bournemouth, Christchurch and Poole","AA/AO","AO","Male","60","60","22280","21170"
"In post","2022","Bournemouth, Christchurch and Poole","EO","EO","Female","185","155","27140","27570"
"In post","2022","Bournemouth, Christchurch and Poole","EO","EO","Male","140","135","27120","27570"
"In post","2022","Bournemouth, Christchurch and Poole","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","G6/G7","G6","Male","5","5","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","G6/G7","G7","Female","15","10","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","SEO/HEO","HEO","Female","25","25","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","SEO/HEO","HEO","Male","30","30","33030","32290"
"In post","2022","Bournemouth, Christchurch and Poole","SEO/HEO","SEO","Female","20","20","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","SEO/HEO","SEO","Male","15","10","[c]","[c]"
"In post","2022","Bournemouth, Christchurch and Poole","Unknown","Unknown","Female","110","95","29120","26810"
"In post","2022","Bournemouth, Christchurch and Poole","Unknown","Unknown","Male","45","40","28400","26810"
"In post","2022","Bradford","AA/AO","AA","Female","30","25","20170","19200"
"In post","2022","Bradford","AA/AO","AA","Male","20","15","[c]","[c]"
"In post","2022","Bradford","AA/AO","AO","Female","770","615","21300","21250"
"In post","2022","Bradford","AA/AO","AO","Male","550","515","21360","21250"
"In post","2022","Bradford","EO","EO","Female","530","455","27170","27570"
"In post","2022","Bradford","EO","EO","Male","310","300","27250","27570"
"In post","2022","Bradford","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2022","Bradford","G6/G7","G6","Male","10","5","[c]","[c]"
"In post","2022","Bradford","G6/G7","G7","Female","30","25","[c]","[c]"
"In post","2022","Bradford","G6/G7","G7","Male","25","25","[c]","[c]"
"In post","2022","Bradford","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Bradford","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Bradford","SEO/HEO","HEO","Female","130","120","32830","33370"
"In post","2022","Bradford","SEO/HEO","HEO","Male","70","70","33040","33370"
"In post","2022","Bradford","SEO/HEO","SEO","Female","55","50","40070","40520"
"In post","2022","Bradford","SEO/HEO","SEO","Male","35","35","40140","40520"
"In post","2022","Bradford","Unknown","Unknown","Female","135","125","29360","26640"
"In post","2022","Bradford","Unknown","Unknown","Male","65","60","30860","28200"
"In post","2022","Breckland and South Norfolk","AA/AO","AA","Female","25","20","[c]","[c]"
"In post","2022","Breckland and South Norfolk","AA/AO","AA","Male","35","35","21050","20890"
"In post","2022","Breckland and South Norfolk","AA/AO","AO","Female","90","80","24120","23550"
"In post","2022","Breckland and South Norfolk","AA/AO","AO","Male","130","125","25920","25610"
"In post","2022","Breckland and South Norfolk","EO","EO","Female","65","55","27640","27570"
"In post","2022","Breckland and South Norfolk","EO","EO","Male","60","60","29690","28040"
"In post","2022","Breckland and South Norfolk","G6/G7","G6","Female","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","G6/G7","G6","Male","[c]","[c]","[c]","[c]"
"In post","2022","Breckland and South Norfolk","G6/G7","G7","Female","5","5","[c]","[c]"
"In post","2022","Breckland and South Norfolk","G6/G7","G7","Male","5","5","[c]","[c]"
"In post","2022","Breckland and South Norfolk","SEO/HEO","HEO","Female","20","20","[c]","[c]"
"In post","2022","Breckland and South Norfolk","SEO/HEO","HEO","Male","30","30","34900","35630"
"In post","2022","Breckland and South Norfolk","SEO/HEO","SEO","Female","20","20","[c]","[c]"
"In post","2022","Breckland and South Norfolk","SEO/HEO","SEO","Male","20","20","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Breckland and South Norfolk","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
