"Status","Year","Age","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","Veterinarian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","London","10","10","25960","27500"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","Operational Delivery","Scotland","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","Operational Delivery","East of England","5","5","[c]","[c]"
