"Status","Year","Age","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","No function","20","20","[c]","[c]"
"In post","2022","16-19","Declared disabled","Project Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Analysis","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Communications","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Counter Fraud","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Debt","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Digital, Data & Technology","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Finance","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Grants Management","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Human Resources","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","No function","395","375","22060","21260"
"In post","2022","16-19","Declared non-disabled","Project Delivery","55","55","19500","19460"
"In post","2022","16-19","Declared non-disabled","Property","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Security","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Unknown","40","40","22350","21260"
"In post","2022","16-19","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Debt","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","No function","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Analysis","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Communications","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Debt","25","20","[c]","[c]"
"In post","2022","16-19","Unknown","Digital, Data & Technology","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Finance","15","10","[c]","[c]"
"In post","2022","16-19","Unknown","Human Resources","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Legal","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","No function","260","250","21900","21250"
"In post","2022","16-19","Unknown","Project Delivery","55","55","17640","17140"
"In post","2022","16-19","Unknown","Property","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Security","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","115","115","21520","21680"
"In post","2022","20-29","Declared disabled","Analysis","235","230","34520","33210"
"In post","2022","20-29","Declared disabled","Commercial","70","70","30960","29090"
"In post","2022","20-29","Declared disabled","Communications","105","105","30630","27500"
"In post","2022","20-29","Declared disabled","Counter Fraud","150","150","28950","27570"
"In post","2022","20-29","Declared disabled","Debt","75","75","22410","21260"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","210","210","31990","30530"
"In post","2022","20-29","Declared disabled","Finance","85","85","33010","30420"
"In post","2022","20-29","Declared disabled","Grants Management","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","190","185","31790","29690"
"In post","2022","20-29","Declared disabled","Internal Audit","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal","105","100","31250","26970"
"In post","2022","20-29","Declared disabled","No function","3535","3465","28720","27570"
"In post","2022","20-29","Declared disabled","Project Delivery","305","300","31020","29000"
"In post","2022","20-29","Declared disabled","Property","55","55","29440","26030"
"In post","2022","20-29","Declared disabled","Security","90","90","29870","28700"
"In post","2022","20-29","Declared disabled","Unknown","555","545","30450","27370"
"In post","2022","20-29","Declared non-disabled","Analysis","1895","1885","36090","33880"
"In post","2022","20-29","Declared non-disabled","Commercial","585","580","32940","32000"
"In post","2022","20-29","Declared non-disabled","Communications","1140","1130","31060","26820"
"In post","2022","20-29","Declared non-disabled","Counter Fraud","1240","1230","29110","27570"
"In post","2022","20-29","Declared non-disabled","Debt","705","680","22230","21250"
"In post","2022","20-29","Declared non-disabled","Digital, Data & Technology","1865","1850","33640","32010"
"In post","2022","20-29","Declared non-disabled","Finance","1025","1015","32650","30420"
"In post","2022","20-29","Declared non-disabled","Grants Management","360","355","22420","21300"
"In post","2022","20-29","Declared non-disabled","Human Resources","1025","1020","31250","28880"
"In post","2022","20-29","Declared non-disabled","Internal Audit","40","40","33460","33420"
"In post","2022","20-29","Declared non-disabled","Legal","1050","1040","32900","27570"
"In post","2022","20-29","Declared non-disabled","No function","29525","29080","28990","27570"
"In post","2022","20-29","Declared non-disabled","Project Delivery","2645","2630","31240","30420"
"In post","2022","20-29","Declared non-disabled","Property","590","585","29630","27810"
"In post","2022","20-29","Declared non-disabled","Security","865","865","28760","26820"
"In post","2022","20-29","Declared non-disabled","Unknown","5835","5735","29660","27230"
"In post","2022","20-29","Undeclared","Analysis","80","80","36760","34610"
"In post","2022","20-29","Undeclared","Commercial","35","35","34100","31660"
"In post","2022","20-29","Undeclared","Communications","55","55","32690","32320"
"In post","2022","20-29","Undeclared","Counter Fraud","55","55","30020","27570"
"In post","2022","20-29","Undeclared","Debt","40","40","21670","21260"
"In post","2022","20-29","Undeclared","Digital, Data & Technology","105","105","33500","33370"
"In post","2022","20-29","Undeclared","Finance","55","55","36250","34630"
"In post","2022","20-29","Undeclared","Grants Management","5","5","[c]","[c]"
"In post","2022","20-29","Undeclared","Human Resources","60","60","31750","28250"
"In post","2022","20-29","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Undeclared","Legal","30","25","[c]","[c]"
"In post","2022","20-29","Undeclared","No function","1585","1555","30210","27570"
"In post","2022","20-29","Undeclared","Project Delivery","110","110","30520","28840"
"In post","2022","20-29","Undeclared","Property","30","30","27610","26030"
"In post","2022","20-29","Undeclared","Security","40","40","31620","30120"
"In post","2022","20-29","Undeclared","Unknown","145","145","30290","28300"
"In post","2022","20-29","Unknown","Analysis","800","795","36050","33400"
"In post","2022","20-29","Unknown","Commercial","410","405","38970","36500"
"In post","2022","20-29","Unknown","Communications","930","925","31030","26820"
"In post","2022","20-29","Unknown","Counter Fraud","580","580","30000","26820"
"In post","2022","20-29","Unknown","Debt","465","450","22340","21250"
"In post","2022","20-29","Unknown","Digital, Data & Technology","1050","1045","34110","32790"
"In post","2022","20-29","Unknown","Finance","595","585","31990","29360"
"In post","2022","20-29","Unknown","Human Resources","390","385","30160","27500"
"In post","2022","20-29","Unknown","Internal Audit","10","10","[c]","[c]"
"In post","2022","20-29","Unknown","Legal","520","515","29680","26090"
"In post","2022","20-29","Unknown","No function","14325","14095","28640","27270"
"In post","2022","20-29","Unknown","Project Delivery","720","715","33190","32710"
"In post","2022","20-29","Unknown","Property","450","440","28540","26030"
