"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","AO","185","165","22970","23770"
"In post","2022","Asian","Attorney General's Departments","EO","200","190","27840","27350"
"In post","2022","Asian","Attorney General's Departments","G6","95","85","67160","65630"
"In post","2022","Asian","Attorney General's Departments","G7","420","390","54410","53050"
"In post","2022","Asian","Attorney General's Departments","HEO","105","105","35570","34500"
"In post","2022","Asian","Attorney General's Departments","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO","35","35","40040","39750"
"In post","2022","Asian","Cabinet Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AO","25","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","90","90","27180","27500"
"In post","2022","Asian","Cabinet Office","G6","50","50","66790","65000"
"In post","2022","Asian","Cabinet Office","G7","160","160","55620","54700"
"In post","2022","Asian","Cabinet Office","HEO","125","125","34200","34550"
"In post","2022","Asian","Cabinet Office","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SEO","100","95","40720","40600"
"In post","2022","Asian","Chancellor's other departments","AO","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G7","15","15","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6","20","20","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G7","25","25","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AA","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","AO","95","85","22110","21130"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","EO","135","130","27380","27680"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G6","45","45","67570","65770"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","G7","180","175","54820","53600"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","HEO","245","240","34010","33570"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","SEO","225","220","41420","40050"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","G6","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","G7","50","50","53690","51730"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","HEO","70","70","35680","34020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Education","AO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education","EO","140","135","26410","25000"
