"Status","Year","Disability","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Commercial","Female","Heterosexual / straight","265","250","38460","37420"
"In post","2022","Declared disabled","Commercial","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Female","Undeclared","35","35","37940","36570"
"In post","2022","Declared disabled","Commercial","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Male","Heterosexual / straight","175","170","40020","38240"
"In post","2022","Declared disabled","Commercial","Male","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Male","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Male","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Female","Heterosexual / straight","140","135","40000","37320"
"In post","2022","Declared disabled","Communications","Female","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Female","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Male","Heterosexual / straight","75","75","38200","36460"
"In post","2022","Declared disabled","Communications","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Communications","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Corporate Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Female","Heterosexual / straight","465","405","28370","27570"
"In post","2022","Declared disabled","Counter Fraud","Female","LGBO","40","35","28810","27570"
