"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Departments","AA/AO","Female","135","115","22890","23770"
"In post","2022","Asian","Attorney General's Departments","AA/AO","Male","55","50","23070","23770"
"In post","2022","Asian","Attorney General's Departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","EO","Female","150","140","27810","27350"
"In post","2022","Asian","Attorney General's Departments","EO","Male","50","50","27940","27440"
"In post","2022","Asian","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","G6/G7","Female","355","320","56530","53050"
"In post","2022","Asian","Attorney General's Departments","G6/G7","Male","160","155","57150","54770"
"In post","2022","Asian","Attorney General's Departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Female","10","5","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","Female","85","80","37040","38000"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","Male","55","55","35950","35510"
"In post","2022","Asian","Attorney General's Departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","EO","Female","60","60","27060","27500"
"In post","2022","Asian","Cabinet Office","EO","Male","30","30","27400","27500"
"In post","2022","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","G6/G7","Female","110","110","58540","56580"
"In post","2022","Asian","Cabinet Office","G6/G7","Male","100","100","58050","55000"
"In post","2022","Asian","Cabinet Office","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","SEO/HEO","Female","125","125","36980","35590"
"In post","2022","Asian","Cabinet Office","SEO/HEO","Male","95","95","37160","35740"
"In post","2022","Asian","Cabinet Office","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","Female","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","Female","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","Male","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO/HEO","Female","25","25","[c]","[c]"
