"Status","Year","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","London","AO","60","55","23530","23330"
"In post","2022","Commercial","London","EO","120","115","29050","28660"
"In post","2022","Commercial","London","G6","120","115","70330","68260"
"In post","2022","Commercial","London","G7","220","215","55970","54010"
"In post","2022","Commercial","London","HEO","210","205","35080","34710"
"In post","2022","Commercial","London","SCS level","55","50","84100","79350"
"In post","2022","Commercial","London","SEO","320","315","43430","42010"
"In post","2022","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Outside London","AA","30","30","22410","21640"
"In post","2022","Commercial","Outside London","AO","230","210","22350","21380"
"In post","2022","Commercial","Outside London","EO","785","740","26080","26350"
"In post","2022","Commercial","Outside London","G6","265","255","66980","66490"
"In post","2022","Commercial","Outside London","G7","615","595","52310","50900"
"In post","2022","Commercial","Outside London","HEO","1320","1270","32080","31990"
"In post","2022","Commercial","Outside London","SCS level","50","50","89820","80770"
"In post","2022","Commercial","Outside London","SEO","1560","1510","40310","40000"
"In post","2022","Commercial","Outside London","Unknown","190","185","39830","38200"
"In post","2022","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","10","10","36720","34800"
"In post","2022","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO","15","15","46590","46060"
"In post","2022","Commercial","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","AA","5","5","[c]","[c]"
"In post","2022","Communications","London","AO","60","55","24200","24250"
"In post","2022","Communications","London","EO","260","255","28630","28310"
"In post","2022","Communications","London","G6","220","215","68450","66270"
"In post","2022","Communications","London","G7","510","495","56110","55000"
"In post","2022","Communications","London","HEO","535","525","35830","35120"
"In post","2022","Communications","London","SCS level","95","90","90690","86070"
"In post","2022","Communications","London","SEO","520","510","43420","42890"
"In post","2022","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","AA","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","AO","135","130","21730","21380"
"In post","2022","Communications","Outside London","EO","335","315","27050","26670"
"In post","2022","Communications","Outside London","G6","95","95","64490","64000"
"In post","2022","Communications","Outside London","G7","250","240","52690","52280"
"In post","2022","Communications","Outside London","HEO","565","540","32900","33000"
"In post","2022","Communications","Outside London","SCS level","15","15","78530","76890"
"In post","2022","Communications","Outside London","SEO","520","495","40140","40000"
"In post","2022","Communications","Outside London","Unknown","10","10","36930","31420"
"In post","2022","Communications","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","10","5","[c]","[c]"
"In post","2022","Corporate Finance","London","G6","15","15","67310","66230"
"In post","2022","Corporate Finance","London","G7","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","HEO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G7","30","25","52310","48310"
"In post","2022","Corporate Finance","Outside London","HEO","25","20","33490","33290"
"In post","2022","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SEO","20","20","41620","39960"
"In post","2022","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","AO","370","325","24620","25110"
"In post","2022","Counter Fraud","London","EO","460","425","31050","31060"
"In post","2022","Counter Fraud","London","G6","40","40","70840","69620"
"In post","2022","Counter Fraud","London","G7","65","65","58500","58700"
"In post","2022","Counter Fraud","London","HEO","195","190","36470","36650"
"In post","2022","Counter Fraud","London","SCS level","10","10","90640","80000"
"In post","2022","Counter Fraud","London","SEO","110","105","42380","41510"
"In post","2022","Counter Fraud","Outside London","AA","20","15","20110","20160"
"In post","2022","Counter Fraud","Outside London","AO","1095","930","21820","21260"
"In post","2022","Counter Fraud","Outside London","EO","3150","2820","27730","27570"
"In post","2022","Counter Fraud","Outside London","G6","10","10","66240","65740"
"In post","2022","Counter Fraud","Outside London","G7","50","50","51690","50510"
"In post","2022","Counter Fraud","Outside London","HEO","785","745","33240","31990"
"In post","2022","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SEO","205","195","39180","37910"
"In post","2022","Counter Fraud","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AO","70","70","24800","24470"
"In post","2022","Digital, Data and Technology","London","EO","430","425","29740","29500"
"In post","2022","Digital, Data and Technology","London","G6","380","375","72020","71700"
"In post","2022","Digital, Data and Technology","London","G7","1195","1180","59300","58130"
"In post","2022","Digital, Data and Technology","London","HEO","780","770","35780","35150"
"In post","2022","Digital, Data and Technology","London","SCS level","135","135","96020","92000"
"In post","2022","Digital, Data and Technology","London","SEO","1055","1040","43850","42980"
"In post","2022","Digital, Data and Technology","London","Unknown","[c]","[c]","[c]","[c]"
