"Status","Year","Age","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Operational Delivery","Female","20","20","[c]","[c]"
