"Status","Year","Organisation","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","Female","70","60","31110","30040"
"In post","2022","Accountant in Bankruptcy","Unknown","Outside London","Male","40","40","35150","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","Female","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","London","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Male","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Female","60","55","40910","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Male","40","40","40460","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","Female","465","420","29920","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","Male","300","285","31880","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
