"Status","Year","Disability","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","435","400","32700","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","LGBO","40","40","29890","29260"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Undeclared","45","40","30520","29290"
"In post","2022","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","805","760","32630","29510"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","85","85","30510","29290"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","110","100","32490","29530"
"In post","2022","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","40","40","31930","27570"
"In post","2022","Declared disabled","Cheshire","Outside London","Heterosexual / straight","360","325","30330","27570"
"In post","2022","Declared disabled","Cheshire","Outside London","LGBO","30","30","31340","27570"
"In post","2022","Declared disabled","Cheshire","Outside London","Undeclared","50","45","31070","29180"
"In post","2022","Declared disabled","Cheshire","Outside London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","185","170","27440","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","LGBO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Outside London","Heterosexual / straight","185","165","29890","27570"
"In post","2022","Declared disabled","Cumbria","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cumbria","Outside London","Unknown","35","30","24960","21300"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","1295","1185","30350","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","LGBO","150","145","30480","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Undeclared","190","175","29960","27570"
"In post","2022","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Unknown","105","95","28710","27570"
"In post","2022","Declared disabled","Devon","Outside London","Heterosexual / straight","780","700","29440","27570"
"In post","2022","Declared disabled","Devon","Outside London","LGBO","85","80","28500","27570"
"In post","2022","Declared disabled","Devon","Outside London","Undeclared","120","110","29440","27570"
"In post","2022","Declared disabled","Devon","Outside London","Unknown","65","60","27550","25010"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","Heterosexual / straight","500","455","29570","27570"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","LGBO","50","45","30040","27630"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","Undeclared","85","75","28920","27570"
"In post","2022","Declared disabled","Dorset and Somerset","Outside London","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","East Anglia","Outside London","Heterosexual / straight","1155","1055","29920","27570"
"In post","2022","Declared disabled","East Anglia","Outside London","LGBO","95","90","27730","27470"
"In post","2022","Declared disabled","East Anglia","Outside London","Undeclared","155","145","30400","27570"
"In post","2022","Declared disabled","East Anglia","Outside London","Unknown","75","65","27160","27570"
"In post","2022","Declared disabled","East Wales","Outside London","Heterosexual / straight","1410","1300","32410","27990"
"In post","2022","Declared disabled","East Wales","Outside London","LGBO","195","190","32300","27570"
"In post","2022","Declared disabled","East Wales","Outside London","Undeclared","180","170","32280","27610"
"In post","2022","Declared disabled","East Wales","Outside London","Unknown","110","90","30220","27570"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","420","375","28020","27380"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","45","45","27070","26330"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Undeclared","55","50","27510","27280"
"In post","2022","Declared disabled","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Eastern Scotland","Outside London","Heterosexual / straight","1380","1285","34320","30040"
"In post","2022","Declared disabled","Eastern Scotland","Outside London","LGBO","260","250","33100","27570"
"In post","2022","Declared disabled","Eastern Scotland","Outside London","Undeclared","150","140","33470","27570"
