"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","AA","Female","Heterosexual / straight","360","325","20090","19810"
"In post","2022","East Midlands (England)","AA","Female","LGBO","30","30","[c]","[c]"
"In post","2022","East Midlands (England)","AA","Female","Undeclared","45","35","20160","19810"
"In post","2022","East Midlands (England)","AA","Female","Unknown","95","85","20540","20890"
"In post","2022","East Midlands (England)","AA","Male","Heterosexual / straight","340","330","20210","20890"
"In post","2022","East Midlands (England)","AA","Male","LGBO","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","AA","Male","Undeclared","40","40","19940","19810"
"In post","2022","East Midlands (England)","AA","Male","Unknown","95","90","20500","20890"
"In post","2022","East Midlands (England)","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","AO","Female","Heterosexual / straight","2635","2290","21990","21260"
"In post","2022","East Midlands (England)","AO","Female","LGBO","170","160","23670","21810"
"In post","2022","East Midlands (England)","AO","Female","Undeclared","345","295","22190","21260"
"In post","2022","East Midlands (England)","AO","Female","Unknown","815","695","22130","21260"
"In post","2022","East Midlands (England)","AO","Male","Heterosexual / straight","1950","1890","24190","22600"
"In post","2022","East Midlands (England)","AO","Male","LGBO","115","110","23090","21260"
"In post","2022","East Midlands (England)","AO","Male","Undeclared","215","205","24280","21830"
"In post","2022","East Midlands (England)","AO","Male","Unknown","710","675","23710","21260"
"In post","2022","East Midlands (England)","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","EO","Female","Heterosexual / straight","2435","2180","27170","27570"
"In post","2022","East Midlands (England)","EO","Female","LGBO","145","135","27210","27570"
"In post","2022","East Midlands (England)","EO","Female","Undeclared","315","280","27130","27380"
"In post","2022","East Midlands (England)","EO","Female","Unknown","705","620","27060","27380"
"In post","2022","East Midlands (England)","EO","Male","Heterosexual / straight","1760","1705","27750","27570"
"In post","2022","East Midlands (England)","EO","Male","LGBO","140","135","27360","27570"
"In post","2022","East Midlands (England)","EO","Male","Undeclared","240","225","28150","27570"
"In post","2022","East Midlands (England)","EO","Male","Unknown","555","535","27470","27130"
"In post","2022","East Midlands (England)","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Female","Heterosexual / straight","155","150","67270","67000"
"In post","2022","East Midlands (England)","G6","Female","LGBO","5","5","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Female","Unknown","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Male","Heterosexual / straight","150","145","70540","67910"
"In post","2022","East Midlands (England)","G6","Male","LGBO","10","10","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Male","Unknown","20","15","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","G7","Female","Heterosexual / straight","500","475","53950","54160"
"In post","2022","East Midlands (England)","G7","Female","LGBO","25","25","[c]","[c]"
"In post","2022","East Midlands (England)","G7","Female","Undeclared","60","55","54120","54160"
"In post","2022","East Midlands (England)","G7","Female","Unknown","75","70","54350","54470"
"In post","2022","East Midlands (England)","G7","Male","Heterosexual / straight","470","455","55540","55210"
"In post","2022","East Midlands (England)","G7","Male","LGBO","20","20","[c]","[c]"
"In post","2022","East Midlands (England)","G7","Male","Undeclared","55","55","57190","55210"
"In post","2022","East Midlands (England)","G7","Male","Unknown","100","100","54800","55210"
"In post","2022","East Midlands (England)","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","HEO","Female","Heterosexual / straight","1220","1135","32810","33080"
"In post","2022","East Midlands (England)","HEO","Female","LGBO","80","80","32450","32440"
"In post","2022","East Midlands (England)","HEO","Female","Undeclared","155","145","33140","33370"
"In post","2022","East Midlands (England)","HEO","Female","Unknown","305","285","32990","33370"
"In post","2022","East Midlands (England)","HEO","Male","Heterosexual / straight","1100","1070","33860","33370"
"In post","2022","East Midlands (England)","HEO","Male","LGBO","65","65","32780","33080"
"In post","2022","East Midlands (England)","HEO","Male","Undeclared","175","170","33710","33370"
"In post","2022","East Midlands (England)","HEO","Male","Unknown","295","285","33180","33370"
"In post","2022","East Midlands (England)","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
