"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","East of England","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","London","440","435","45670","42010"
"In post","2022","Asian","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","North West (England)","45","40","37340","33370"
"In post","2022","Asian","Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","South East (England)","30","30","[c]","[c]"
"In post","2022","Asian","Analysis","South West (England)","15","10","[c]","[c]"
"In post","2022","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Wales","45","45","34690","31700"
"In post","2022","Asian","Analysis","West Midlands (England)","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","East Midlands (England)","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","East of England","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","London","160","160","47290","40860"
"In post","2022","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","North West (England)","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scotland","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","South East (England)","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","South West (England)","30","30","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","West Midlands (England)","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Yorkshire and The Humber","15","15","[c]","[c]"
"In post","2022","Asian","Communications","East Midlands (England)","90","90","28850","26820"
"In post","2022","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","150","145","43390","40450"
"In post","2022","Asian","Communications","North East (England)","40","40","28820","26820"
"In post","2022","Asian","Communications","North West (England)","110","105","30340","26820"
"In post","2022","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wales","35","35","27700","26820"
"In post","2022","Asian","Communications","West Midlands (England)","150","150","28270","26590"
"In post","2022","Asian","Communications","Yorkshire and The Humber","130","125","30000","26820"
"In post","2022","Asian","Counter Fraud","East Midlands (England)","70","65","32390","32530"
"In post","2022","Asian","Counter Fraud","East of England","20","20","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","645","590","32580","31060"
"In post","2022","Asian","Counter Fraud","North East (England)","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","North West (England)","120","115","30940","27570"
