"Status","Year","Age","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Analysis","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Debt","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Wales","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Digital, Data & Technology","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Grants Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Human Resources","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Internal Audit","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","East of England","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Legal","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","No function","East Midlands (England)","5","5","[c]","[c]"
