"Status","Year","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Outside London","AA/AO","30","25","23160","23230"
"In post","2022","Accountant in Bankruptcy","Outside London","EO","40","35","29390","30040"
"In post","2022","Accountant in Bankruptcy","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Accountant in Bankruptcy","Outside London","SEO/HEO","35","35","37500","36130"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","AA/AO","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","35","30","28410","28420"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6/G7","25","25","60870","59470"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","115","110","41330","39120"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AA/AO","40","35","20520","20040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","285","270","24680","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G6/G7","30","30","56120","51630"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","480","445","34390","34500"
"In post","2022","Animal and Plant Health Agency","London","AA/AO","10","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","55","55","30260","31460"
"In post","2022","Animal and Plant Health Agency","London","G6/G7","15","15","58050","56870"
"In post","2022","Animal and Plant Health Agency","London","SEO/HEO","30","30","37330","36620"
"In post","2022","Animal and Plant Health Agency","Outside London","AA/AO","850","790","22060","21300"
"In post","2022","Animal and Plant Health Agency","Outside London","EO","760","720","26100","25310"
"In post","2022","Animal and Plant Health Agency","Outside London","G6/G7","220","215","54490","53870"
"In post","2022","Animal and Plant Health Agency","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","SEO/HEO","940","895","35350","35900"
"In post","2022","Animal and Plant Health Agency","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","EO","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","EO","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","G6/G7","20","20","59500","61000"
"In post","2022","Attorney General's Office","London","SCS level","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","SEO/HEO","10","10","35390","37730"
"In post","2022","Cabinet Office (excl. agencies)","London","AA/AO","110","105","24170","24490"
"In post","2022","Cabinet Office (excl. agencies)","London","EO","530","520","27700","27500"
"In post","2022","Cabinet Office (excl. agencies)","London","G6/G7","2620","2575","60230","56760"
"In post","2022","Cabinet Office (excl. agencies)","London","SCS level","585","575","99820","93000"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO/HEO","2580","2565","34280","34550"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AA/AO","355","325","21140","21050"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","EO","355","330","25210","24920"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G6/G7","950","935","60530","60500"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SCS level","135","130","103720","95900"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SEO/HEO","1240","1210","33450","32960"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","30","30","26000","26570"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6/G7","85","85","56150","54700"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SCS level","15","15","100010","86870"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","345","345","31670","30500"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA/AO","45","45","21170","21510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","150","140","25260","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6/G7","115","110","51980","49040"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO/HEO","335","320","33080","30660"
"In post","2022","Charity Commission","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","G6/G7","30","30","54960","51160"
"In post","2022","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","SEO/HEO","40","40","33720","32040"
"In post","2022","Charity Commission","Outside London","AA/AO","30","20","18910","19980"
"In post","2022","Charity Commission","Outside London","EO","110","105","24940","24440"
"In post","2022","Charity Commission","Outside London","G6/G7","35","35","54110","51070"
"In post","2022","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Outside London","SEO/HEO","205","200","32280","29300"
"In post","2022","Companies House","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","Outside London","AA/AO","450","395","21680","22740"
"In post","2022","Companies House","Outside London","EO","300","285","27410","25460"
"In post","2022","Companies House","Outside London","G6/G7","90","90","57160","54820"
"In post","2022","Companies House","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Companies House","Outside London","SEO/HEO","325","315","38580","39820"
"In post","2022","Competition and Markets Authority","London","AA/AO","20","20","23010","22520"
"In post","2022","Competition and Markets Authority","London","EO","65","60","28220","27920"
"In post","2022","Competition and Markets Authority","London","G6/G7","400","385","66020","62980"
"In post","2022","Competition and Markets Authority","London","SCS level","120","115","108020","99920"
"In post","2022","Competition and Markets Authority","London","SEO/HEO","190","185","37530","35560"
"In post","2022","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","G6/G7","45","45","64020","60280"
"In post","2022","Competition and Markets Authority","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SEO/HEO","15","15","37440","34870"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","AA/AO","120","110","21010","20970"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","EO","80","80","25360","25120"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","G6/G7","15","10","57880","59000"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","Outside London","SEO/HEO","95","95","31630","30450"
"In post","2022","Criminal Injuries Compensation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","London","EO","5","5","[c]","[c]"
"In post","2022","Crown Commercial Service","London","G6/G7","35","35","60380","59420"
"In post","2022","Crown Commercial Service","London","SCS level","10","10","[c]","[c]"
"In post","2022","Crown Commercial Service","London","SEO/HEO","25","25","39670","41420"
"In post","2022","Crown Commercial Service","Outside London","AA/AO","25","25","20510","20330"
"In post","2022","Crown Commercial Service","Outside London","EO","110","105","25810","25520"
"In post","2022","Crown Commercial Service","Outside London","G6/G7","170","170","54310","51600"
"In post","2022","Crown Commercial Service","Outside London","SCS level","10","10","94510","78300"
"In post","2022","Crown Commercial Service","Outside London","SEO/HEO","415","405","35290","38330"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","AA/AO","790","720","22520","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","EO","385","370","28670","27940"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","G6/G7","225","210","68510","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","SCS level","25","25","86160","83230"
"In post","2022","Crown Office and Procurator Fiscal Service","Outside London","SEO/HEO","930","885","42940","41750"
"In post","2022","Crown Prosecution Service","London","AA/AO","350","325","23370","23770"
"In post","2022","Crown Prosecution Service","London","EO","375","355","28700","29170"
"In post","2022","Crown Prosecution Service","London","G6/G7","770","730","61370","61860"
"In post","2022","Crown Prosecution Service","London","SCS level","35","35","98740","90730"
"In post","2022","Crown Prosecution Service","London","SEO/HEO","250","240","36290","35020"
"In post","2022","Crown Prosecution Service","Outside London","AA/AO","1100","1005","22430","22200"
"In post","2022","Crown Prosecution Service","Outside London","EO","1085","1005","27350","27440"
"In post","2022","Crown Prosecution Service","Outside London","G6/G7","2275","2100","55910","55610"
"In post","2022","Crown Prosecution Service","Outside London","SCS level","45","45","91180","83970"
"In post","2022","Crown Prosecution Service","Outside London","SEO/HEO","750","725","35390","34480"
"In post","2022","Crown Prosecution Service","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Outside London","AA/AO","100","100","20970","21770"
"In post","2022","Defence Electronics and Components Agency","Outside London","EO","250","240","29000","29470"
"In post","2022","Defence Electronics and Components Agency","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","Outside London","SEO/HEO","75","70","37830","34000"
"In post","2022","Defence Equipment and Support","London","EO","120","115","20670","20070"
"In post","2022","Defence Equipment and Support","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","London","SEO/HEO","65","65","31280","28680"
"In post","2022","Defence Equipment and Support","Outside London","EO","2235","2140","22620","22000"
"In post","2022","Defence Equipment and Support","Outside London","G6/G7","1770","1725","56170","55000"
"In post","2022","Defence Equipment and Support","Outside London","SCS level","110","110","102430","93640"
"In post","2022","Defence Equipment and Support","Outside London","SEO/HEO","6360","6125","35450","34850"
"In post","2022","Defence Equipment and Support","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Overseas","G6/G7","15","15","58240","57110"
"In post","2022","Defence Equipment and Support","Overseas","SEO/HEO","50","50","38850","40580"
"In post","2022","Defence Equipment and Support","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Outside London","AA/AO","185","180","20420","18330"
"In post","2022","Defence Science and Technology Laboratory","Outside London","EO","285","270","24850","23490"
"In post","2022","Defence Science and Technology Laboratory","Outside London","G6/G7","1945","1865","52740","47760"
"In post","2022","Defence Science and Technology Laboratory","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","Outside London","SEO/HEO","2230","2160","34570","38070"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","55","50","25670","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","320","315","28680","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","2385","2325","58680","56550"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","300","285","87790","81880"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","2175","2150","38180","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","AA/AO","15","15","21580","21580"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","EO","105","100","25180","24570"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","245","240","54640","51840"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SCS level","30","30","92200","82690"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","SEO/HEO","375","365","37650","36550"
"In post","2022","Department for Digital, Culture, Media and Sport","London","AA/AO","10","10","23930","23560"
"In post","2022","Department for Digital, Culture, Media and Sport","London","EO","160","155","27020","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G6/G7","835","820","56510","54700"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SCS level","115","110","83760","75700"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SEO/HEO","665","655","35680","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","EO","25","25","25360","24950"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","80","80","53290","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","115","110","33920","34020"
"In post","2022","Department for Education (excl. agencies)","London","AA/AO","25","25","24320","24250"
"In post","2022","Department for Education (excl. agencies)","London","EO","190","185","29240","28500"
"In post","2022","Department for Education (excl. agencies)","London","G6/G7","965","920","58890","54700"
"In post","2022","Department for Education (excl. agencies)","London","SCS level","155","150","82810","74370"
"In post","2022","Department for Education (excl. agencies)","London","SEO/HEO","755","730","38690","40230"
"In post","2022","Department for Education (excl. agencies)","Outside London","AA/AO","60","55","21270","21250"
"In post","2022","Department for Education (excl. agencies)","Outside London","EO","520","505","25420","25000"
"In post","2022","Department for Education (excl. agencies)","Outside London","G6/G7","1485","1435","54480","50630"
"In post","2022","Department for Education (excl. agencies)","Outside London","SCS level","80","75","81400","74100"
"In post","2022","Department for Education (excl. agencies)","Outside London","SEO/HEO","2065","1995","34630","36500"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","AA/AO","80","75","24370","24370"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","290","280","28240","28170"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6/G7","925","890","57180","54650"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SCS level","135","130","83960","77160"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO/HEO","1340","1310","36660","35810"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","20","20","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AA/AO","95","85","21660","21300"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","355","340","25390","25100"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6/G7","1250","1210","52420","49360"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SCS level","60","60","82340","77230"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","1930","1855","34380","35900"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","London","AA/AO","25","25","25260","25140"
"In post","2022","Department for International Trade","London","EO","250","250","27770","26510"
"In post","2022","Department for International Trade","London","G6/G7","975","960","56720","53600"
"In post","2022","Department for International Trade","London","SCS level","140","140","87490","77270"
"In post","2022","Department for International Trade","London","SEO/HEO","1110","1105","36520","38160"
"In post","2022","Department for International Trade","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","EO","20","20","24580","23720"
"In post","2022","Department for International Trade","Outside London","G6/G7","90","90","52830","49610"
"In post","2022","Department for International Trade","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","SEO/HEO","85","80","33250","34430"
"In post","2022","Department for International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","G6/G7","100","100","56980","54700"
"In post","2022","Department for International Trade","Overseas","SCS level","25","25","83630","75290"
"In post","2022","Department for International Trade","Overseas","SEO/HEO","50","50","37560","38300"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","AA/AO","25","25","26550","26870"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","EO","225","220","28880","27850"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","G6/G7","985","960","57680","53900"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SCS level","155","150","85050","77000"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","London","SEO/HEO","820","810","37050","37600"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","AA/AO","35","35","23720","23320"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","EO","115","110","25800","24830"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","G6/G7","345","335","52020","48200"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SCS level","25","20","87040","76740"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","SEO/HEO","575","560","34250","34690"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","London","AA/AO","110","90","30760","33390"
"In post","2022","Department for Transport (excl. agencies)","London","EO","255","255","29860","30270"
"In post","2022","Department for Transport (excl. agencies)","London","G6/G7","1225","1200","59040","54760"
"In post","2022","Department for Transport (excl. agencies)","London","SCS level","220","210","87300","79000"
"In post","2022","Department for Transport (excl. agencies)","London","SEO/HEO","1205","1185","39170","39470"
"In post","2022","Department for Transport (excl. agencies)","Outside London","AA/AO","30","25","21840","21840"
"In post","2022","Department for Transport (excl. agencies)","Outside London","EO","120","115","25810","26130"
"In post","2022","Department for Transport (excl. agencies)","Outside London","G6/G7","215","210","63040","60140"
"In post","2022","Department for Transport (excl. agencies)","Outside London","SCS level","15","15","92200","88340"
"In post","2022","Department for Transport (excl. agencies)","Outside London","SEO/HEO","270","260","34810","33350"
"In post","2022","Department for Transport (excl. agencies)","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport (excl. agencies)","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions (excl. agencies)","London","AA/AO","1515","1330","24530","25110"
"In post","2022","Department for Work and Pensions (excl. agencies)","London","EO","6100","5715","31090","31060"
"In post","2022","Department for Work and Pensions (excl. agencies)","London","G6/G7","680","650","60250","57230"
"In post","2022","Department for Work and Pensions (excl. agencies)","London","SCS level","120","115","91490","82040"
"In post","2022","Department for Work and Pensions (excl. agencies)","London","SEO/HEO","1550","1505","38620","37690"
"In post","2022","Department for Work and Pensions (excl. agencies)","Outside London","AA/AO","27415","23610","21220","21260"
"In post","2022","Department for Work and Pensions (excl. agencies)","Outside London","EO","41460","37260","27680","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Outside London","G6/G7","2825","2730","55990","52750"
"In post","2022","Department for Work and Pensions (excl. agencies)","Outside London","SCS level","140","140","84830","77800"
"In post","2022","Department for Work and Pensions (excl. agencies)","Outside London","SEO/HEO","9045","8485","34440","33650"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","AA/AO","115","100","23010","23050"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","EO","340","315","28740","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","G6/G7","35","35","56940","54070"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions (excl. agencies)","Unknown","SEO/HEO","105","100","36890","35720"
"In post","2022","Department of Health and Social Care (excl. agencies)","London","AA/AO","35","35","23120","23170"
"In post","2022","Department of Health and Social Care (excl. agencies)","London","EO","310","300","27740","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","London","G6/G7","1110","1070","58350","53870"
"In post","2022","Department of Health and Social Care (excl. agencies)","London","SCS level","210","205","88210","78010"
"In post","2022","Department of Health and Social Care (excl. agencies)","London","SEO/HEO","1010","985","36930","35190"
"In post","2022","Department of Health and Social Care (excl. agencies)","Outside London","AA/AO","15","15","20430","19880"
"In post","2022","Department of Health and Social Care (excl. agencies)","Outside London","EO","145","140","24620","23690"
"In post","2022","Department of Health and Social Care (excl. agencies)","Outside London","G6/G7","585","555","55130","51440"
"In post","2022","Department of Health and Social Care (excl. agencies)","Outside London","SCS level","80","80","87920","82100"
"In post","2022","Department of Health and Social Care (excl. agencies)","Outside London","SEO/HEO","530","510","34350","36820"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","EO","10","10","26550","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","G6/G7","15","15","59090","61860"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","Unknown","SEO/HEO","15","15","35460","32790"
"In post","2022","Disclosure Scotland","Outside London","AA/AO","215","200","22650","23230"
"In post","2022","Disclosure Scotland","Outside London","EO","60","55","30030","30040"
"In post","2022","Disclosure Scotland","Outside London","G6/G7","20","20","61090","57480"
"In post","2022","Disclosure Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","Outside London","SEO/HEO","60","60","39410","37070"
"In post","2022","Driver and Vehicle Licensing Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Outside London","AA/AO","4135","3520","20920","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Outside London","EO","940","880","26600","26470"
"In post","2022","Driver and Vehicle Licensing Agency","Outside London","G6/G7","290","275","63850","59870"
"In post","2022","Driver and Vehicle Licensing Agency","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","Outside London","SEO/HEO","980","950","37320","35680"
"In post","2022","Driver and Vehicle Standards Agency","London","AA/AO","35","35","29570","30830"
"In post","2022","Driver and Vehicle Standards Agency","London","EO","275","260","31190","30780"
"In post","2022","Driver and Vehicle Standards Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","London","SEO/HEO","55","50","37050","36180"
"In post","2022","Driver and Vehicle Standards Agency","Outside London","AA/AO","1075","1000","24350","21840"
"In post","2022","Driver and Vehicle Standards Agency","Outside London","EO","2400","2235","27770","26780"
"In post","2022","Driver and Vehicle Standards Agency","Outside London","G6/G7","125","125","54630","52000"
"In post","2022","Driver and Vehicle Standards Agency","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","Outside London","SEO/HEO","945","925","35240","33350"
"In post","2022","Education and Skills Funding Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","London","EO","20","20","28910","28500"
"In post","2022","Education and Skills Funding Agency","London","G6/G7","125","120","59040","54750"
"In post","2022","Education and Skills Funding Agency","London","SCS level","15","15","84470","74100"
"In post","2022","Education and Skills Funding Agency","London","SEO/HEO","130","125","38620","40230"
"In post","2022","Education and Skills Funding Agency","Outside London","AA/AO","15","15","21250","21250"
"In post","2022","Education and Skills Funding Agency","Outside London","EO","150","140","25460","25000"
"In post","2022","Education and Skills Funding Agency","Outside London","G6/G7","480","465","53930","50630"
"In post","2022","Education and Skills Funding Agency","Outside London","SCS level","30","30","81100","77830"
"In post","2022","Education and Skills Funding Agency","Outside London","SEO/HEO","935","900","34200","36500"
"In post","2022","Education and Skills Funding Agency","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","Outside London","AA/AO","35","35","23220","23230"
"In post","2022","Education Scotland","Outside London","EO","15","15","28990","28990"
"In post","2022","Education Scotland","Outside London","G6/G7","210","200","69480","72480"
"In post","2022","Education Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","Outside London","SEO/HEO","65","65","42730","43000"
"In post","2022","Estyn","Outside London","AA/AO","10","10","24460","24630"
"In post","2022","Estyn","Outside London","EO","25","20","28700","29430"
"In post","2022","Estyn","Outside London","G6/G7","70","65","73860","75480"
"In post","2022","Estyn","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","FCDO Services","London","AA/AO","35","35","30440","29170"
"In post","2022","FCDO Services","London","EO","15","15","32660","31830"
"In post","2022","FCDO Services","London","G6/G7","55","55","66450","63300"
"In post","2022","FCDO Services","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","London","SEO/HEO","55","55","42880","42750"
"In post","2022","FCDO Services","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","Outside London","AA/AO","100","95","23460","23100"
"In post","2022","FCDO Services","Outside London","EO","155","150","28220","27770"
