"Status","Year","Age","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Animal and Plant Health Agency","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Prosecution Service","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","EO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Defence Equipment and Support","EO","Male","85","85","18400","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Male","10","10","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","Female","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","Male","5","5","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Female","60","55","21780","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","Male","55","55","21460","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","EO","Female","20","20","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","EO","Male","15","15","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","AA/AO","Female","[c]","[c]","[c]","[c]"
