"Status","Year","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Accountant in Bankruptcy","Unknown","Female","70","60","31110","30040"
"In post","2022","Accountant in Bankruptcy","Unknown","Male","40","40","35150","30040"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Communications","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Female","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Male","40","40","45460","43710"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Female","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Finance","Male","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Female","25","25","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Female","525","475","31140","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Delivery","Male","340","325","32860","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Policy","Male","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Female","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Project Delivery","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Female","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Female","1145","1065","27160","24920"
"In post","2022","Animal and Plant Health Agency","Operational Delivery","Male","770","750","28530","26380"
"In post","2022","Animal and Plant Health Agency","Other","Female","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Other","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Female","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Project Delivery","Male","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Science and Engineering","Female","350","330","30950","27960"
