"Status","Year","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","100","95","22980","21260"
"In post","2022","16-19","Black","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","25","20","[c]","[c]"
"In post","2022","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","500","480","21480","21250"
"In post","2022","16-19","White","630","615","21780","21260"
"In post","2022","20-29","Asian","6910","6780","29850","27570"
"In post","2022","20-29","Black","2370","2340","30550","29300"
"In post","2022","20-29","Mixed","2435","2390","31270","29210"
"In post","2022","20-29","Other ethnicity","515","510","31810","30410"
"In post","2022","20-29","Undeclared","1340","1325","31690","29490"
"In post","2022","20-29","Unknown","21270","20970","28950","27130"
"In post","2022","20-29","White","49725","49115","29900","27570"
"In post","2022","30-39","Asian","9215","8745","34250","31020"
"In post","2022","30-39","Black","3525","3405","33380","31060"
"In post","2022","30-39","Mixed","2615","2510","37200","33080"
"In post","2022","30-39","Other ethnicity","625","605","38070","33570"
"In post","2022","30-39","Undeclared","3445","3320","36360","33080"
"In post","2022","30-39","Unknown","19155","18350","34390","30450"
"In post","2022","30-39","White","72950","69370","35350","31600"
"In post","2022","40-49","Asian","8995","8295","35610","31020"
"In post","2022","40-49","Black","3845","3695","34820","31060"
"In post","2022","40-49","Mixed","1915","1810","39280","33860"
"In post","2022","40-49","Other ethnicity","640","605","38800","33390"
"In post","2022","40-49","Undeclared","4830","4595","36840","32890"
"In post","2022","40-49","Unknown","13655","12905","37520","31740"
"In post","2022","40-49","White","82615","77475","37440","32170"
"In post","2022","50-59","Asian","6065","5680","34400","30190"
"In post","2022","50-59","Black","5505","5310","34250","31060"
"In post","2022","50-59","Mixed","1650","1565","36760","31880"
"In post","2022","50-59","Other ethnicity","615","590","37850","31930"
"In post","2022","50-59","Undeclared","7670","7245","35380","31650"
"In post","2022","50-59","Unknown","13235","12435","36380","30890"
"In post","2022","50-59","White","108295","101600","35530","30660"
"In post","2022","60-64","Asian","1605","1385","32180","28810"
"In post","2022","60-64","Black","1420","1295","31710","29370"
"In post","2022","60-64","Mixed","405","350","34380","28920"
"In post","2022","60-64","Other ethnicity","185","160","36990","31650"
"In post","2022","60-64","Undeclared","2195","1825","33490","29080"
"In post","2022","60-64","Unknown","3530","2990","32380","27570"
"In post","2022","60-64","White","31225","25615","32110","27570"
"In post","2022","65+","Asian","760","595","30700","27130"
"In post","2022","65+","Black","400","355","30240","27490"
"In post","2022","65+","Mixed","130","105","32080","27570"
"In post","2022","65+","Other ethnicity","70","55","34510","27970"
"In post","2022","65+","Undeclared","705","530","32910","28550"
"In post","2022","65+","Unknown","1145","870","32490","27570"
"In post","2022","65+","White","9375","7175","30960","27370"
"In post","2022","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","White","15","10","[c]","[c]"
"Leaver CS","2022","16-19","Asian","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
