"Status","Year","Age","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Heterosexual / straight","95","90","22980","21260"
"In post","2022","16-19","Asian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Black","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","16-19","Mixed","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","490","470","21470","21250"
"In post","2022","16-19","White","Heterosexual / straight","535","525","21800","21260"
"In post","2022","16-19","White","LGBO","45","45","22700","21660"
"In post","2022","16-19","White","Undeclared","25","25","[c]","[c]"
"In post","2022","16-19","White","Unknown","25","20","[c]","[c]"
"In post","2022","20-29","Asian","Heterosexual / straight","6220","6100","29700","27570"
"In post","2022","20-29","Asian","LGBO","200","200","33280","31690"
"In post","2022","20-29","Asian","Undeclared","220","210","31030","28870"
"In post","2022","20-29","Asian","Unknown","270","265","29860","27570"
"In post","2022","20-29","Black","Heterosexual / straight","2125","2095","30480","29300"
"In post","2022","20-29","Black","LGBO","95","90","31820","30520"
"In post","2022","20-29","Black","Undeclared","85","85","30080","28670"
"In post","2022","20-29","Black","Unknown","70","70","31670","30100"
"In post","2022","20-29","Mixed","Heterosexual / straight","1895","1860","31140","29000"
"In post","2022","20-29","Mixed","LGBO","300","295","31420","28690"
"In post","2022","20-29","Mixed","Undeclared","160","155","32160","30750"
"In post","2022","20-29","Mixed","Unknown","80","80","31970","29260"
"In post","2022","20-29","Other ethnicity","Heterosexual / straight","415","410","31550","30270"
"In post","2022","20-29","Other ethnicity","LGBO","55","50","32440","31060"
"In post","2022","20-29","Other ethnicity","Undeclared","35","35","35010","32960"
"In post","2022","20-29","Other ethnicity","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Undeclared","Heterosexual / straight","275","270","30220","27950"
"In post","2022","20-29","Undeclared","LGBO","35","35","26320","25590"
"In post","2022","20-29","Undeclared","Undeclared","905","895","32180","30640"
"In post","2022","20-29","Undeclared","Unknown","125","125","32860","31960"
"In post","2022","20-29","Unknown","Heterosexual / straight","495","485","29460","27570"
"In post","2022","20-29","Unknown","LGBO","55","55","31440","28990"
"In post","2022","20-29","Unknown","Undeclared","595","595","36080","32790"
"In post","2022","20-29","Unknown","Unknown","20120","19835","28720","26820"
"In post","2022","20-29","White","Heterosexual / straight","39500","39010","29830","27570"
"In post","2022","20-29","White","LGBO","5920","5855","30280","27570"
"In post","2022","20-29","White","Undeclared","2415","2380","30680","28000"
"In post","2022","20-29","White","Unknown","1890","1865","29240","27570"
"In post","2022","30-39","Asian","Heterosexual / straight","8070","7670","34280","31020"
"In post","2022","30-39","Asian","LGBO","185","180","37790","33840"
"In post","2022","30-39","Asian","Undeclared","380","360","33420","29360"
"In post","2022","30-39","Asian","Unknown","580","535","33200","30550"
"In post","2022","30-39","Black","Heterosexual / straight","3160","3060","33280","31060"
"In post","2022","30-39","Black","LGBO","85","85","35960","31060"
"In post","2022","30-39","Black","Undeclared","115","110","35820","32330"
"In post","2022","30-39","Black","Unknown","165","150","32200","31060"
"In post","2022","30-39","Mixed","Heterosexual / straight","2085","1995","37240","33080"
"In post","2022","30-39","Mixed","LGBO","240","235","38160","34260"
"In post","2022","30-39","Mixed","Undeclared","160","150","35480","31540"
"In post","2022","30-39","Mixed","Unknown","130","125","36870","33370"
"In post","2022","30-39","Other ethnicity","Heterosexual / straight","500","485","37610","33550"
"In post","2022","30-39","Other ethnicity","LGBO","50","50","39160","33560"
"In post","2022","30-39","Other ethnicity","Undeclared","40","40","44110","40070"
"In post","2022","30-39","Other ethnicity","Unknown","30","25","35840","31060"
"In post","2022","30-39","Undeclared","Heterosexual / straight","640","610","34470","31020"
"In post","2022","30-39","Undeclared","LGBO","80","80","32140","28750"
"In post","2022","30-39","Undeclared","Undeclared","2230","2170","37270","33370"
"In post","2022","30-39","Undeclared","Unknown","495","460","35420","33330"
"In post","2022","30-39","Unknown","Heterosexual / straight","810","765","34880","31540"
"In post","2022","30-39","Unknown","LGBO","70","65","35490","31240"
"In post","2022","30-39","Unknown","Undeclared","640","615","42710","40650"
"In post","2022","30-39","Unknown","Unknown","17640","16900","34060","30210"
"In post","2022","30-39","White","Heterosexual / straight","59430","56450","35390","31550"
"In post","2022","30-39","White","LGBO","5795","5695","35900","31990"
"In post","2022","30-39","White","Undeclared","3700","3520","35580","32180"
"In post","2022","30-39","White","Unknown","4025","3705","33750","30220"
"In post","2022","40-49","Asian","Heterosexual / straight","7250","6755","36100","31060"
"In post","2022","40-49","Asian","LGBO","170","160","34790","29600"
"In post","2022","40-49","Asian","Undeclared","510","465","33750","28990"
"In post","2022","40-49","Asian","Unknown","1065","920","33310","27570"
"In post","2022","40-49","Black","Heterosexual / straight","3360","3240","34790","31060"
"In post","2022","40-49","Black","LGBO","65","60","36130","31060"
"In post","2022","40-49","Black","Undeclared","160","150","34900","31060"
"In post","2022","40-49","Black","Unknown","265","240","34880","31060"
"In post","2022","40-49","Mixed","Heterosexual / straight","1495","1410","39280","34260"
"In post","2022","40-49","Mixed","LGBO","150","145","41830","36010"
"In post","2022","40-49","Mixed","Undeclared","120","110","38170","31650"
"In post","2022","40-49","Mixed","Unknown","150","140","37610","31740"
"In post","2022","40-49","Other ethnicity","Heterosexual / straight","445","420","37410","32890"
"In post","2022","40-49","Other ethnicity","LGBO","50","50","41150","35310"
"In post","2022","40-49","Other ethnicity","Undeclared","75","70","46040","40050"
"In post","2022","40-49","Other ethnicity","Unknown","70","65","38480","31880"
"In post","2022","40-49","Undeclared","Heterosexual / straight","700","665","34550","30830"
"In post","2022","40-49","Undeclared","LGBO","60","60","39300","33900"
"In post","2022","40-49","Undeclared","Undeclared","3175","3040","37840","33370"
"In post","2022","40-49","Undeclared","Unknown","895","830","34920","31060"
"In post","2022","40-49","Unknown","Heterosexual / straight","770","725","37530","33290"
"In post","2022","40-49","Unknown","LGBO","50","50","46620","37930"
"In post","2022","40-49","Unknown","Undeclared","535","500","44900","40700"
"In post","2022","40-49","Unknown","Unknown","12300","11630","37160","31060"
"In post","2022","40-49","White","Heterosexual / straight","65905","61985","37770","32930"
"In post","2022","40-49","White","LGBO","3740","3635","39140","33080"
"In post","2022","40-49","White","Undeclared","5305","4950","35590","31170"
"In post","2022","40-49","White","Unknown","7665","6905","34980","29870"
"In post","2022","50-59","Asian","Heterosexual / straight","4670","4410","34990","30600"
"In post","2022","50-59","Asian","LGBO","95","90","32400","27960"
"In post","2022","50-59","Asian","Undeclared","475","435","31830","29080"
"In post","2022","50-59","Asian","Unknown","825","745","32810","27570"
"In post","2022","50-59","Black","Heterosexual / straight","4450","4305","34530","31060"
"In post","2022","50-59","Black","LGBO","85","80","36870","30330"
"In post","2022","50-59","Black","Undeclared","335","320","32580","30370"
"In post","2022","50-59","Black","Unknown","635","600","32840","31060"
"In post","2022","50-59","Mixed","Heterosexual / straight","1245","1190","36910","31990"
"In post","2022","50-59","Mixed","LGBO","100","95","35940","31650"
"In post","2022","50-59","Mixed","Undeclared","155","145","36140","31020"
"In post","2022","50-59","Mixed","Unknown","155","140","36670","30110"
"In post","2022","50-59","Other ethnicity","Heterosexual / straight","405","385","36830","31880"
"In post","2022","50-59","Other ethnicity","LGBO","40","35","46580","44360"
"In post","2022","50-59","Other ethnicity","Undeclared","90","85","38160","32010"
"In post","2022","50-59","Other ethnicity","Unknown","85","80","38380","31880"
"In post","2022","50-59","Undeclared","Heterosexual / straight","1055","1005","34740","30740"
"In post","2022","50-59","Undeclared","LGBO","90","85","35380","31650"
"In post","2022","50-59","Undeclared","Undeclared","4950","4725","36300","33000"
"In post","2022","50-59","Undeclared","Unknown","1580","1430","32910","28920"
"In post","2022","50-59","Unknown","Heterosexual / straight","890","825","36070","30700"
"In post","2022","50-59","Unknown","LGBO","55","50","34910","30110"
"In post","2022","50-59","Unknown","Undeclared","590","560","42330","37060"
"In post","2022","50-59","Unknown","Unknown","11710","11000","36110","30700"
"In post","2022","50-59","White","Heterosexual / straight","84665","79795","35860","30980"
"In post","2022","50-59","White","LGBO","3130","3010","37020","31650"
"In post","2022","50-59","White","Undeclared","8835","8215","34380","29200"
"In post","2022","50-59","White","Unknown","11665","10585","33630","27800"
"In post","2022","60-64","Asian","Heterosexual / straight","1140","995","32850","29080"
"In post","2022","60-64","Asian","LGBO","45","35","31490","27570"
"In post","2022","60-64","Asian","Undeclared","175","150","29280","27570"
"In post","2022","60-64","Asian","Unknown","245","210","31250","27570"
"In post","2022","60-64","Black","Heterosexual / straight","1125","1040","31950","29470"
"In post","2022","60-64","Black","LGBO","15","10","[c]","[c]"
"In post","2022","60-64","Black","Undeclared","90","75","29410","27570"
"In post","2022","60-64","Black","Unknown","195","170","31310","28210"
"In post","2022","60-64","Mixed","Heterosexual / straight","290","260","34680","28920"
"In post","2022","60-64","Mixed","LGBO","20","20","[c]","[c]"
"In post","2022","60-64","Mixed","Undeclared","50","40","35510","31060"
"In post","2022","60-64","Mixed","Unknown","45","35","30670","27570"
"In post","2022","60-64","Other ethnicity","Heterosexual / straight","100","90","36490","31400"
"In post","2022","60-64","Other ethnicity","LGBO","15","15","[c]","[c]"
"In post","2022","60-64","Other ethnicity","Undeclared","35","30","38770","31560"
"In post","2022","60-64","Other ethnicity","Unknown","35","30","35250","31650"
"In post","2022","60-64","Undeclared","Heterosexual / straight","295","250","30210","27570"
"In post","2022","60-64","Undeclared","LGBO","30","25","[c]","[c]"
"In post","2022","60-64","Undeclared","Undeclared","1380","1160","34410","30720"
"In post","2022","60-64","Undeclared","Unknown","495","390","32860","27570"
"In post","2022","60-64","Unknown","Heterosexual / straight","280","235","31210","26780"
"In post","2022","60-64","Unknown","LGBO","20","15","[c]","[c]"
"In post","2022","60-64","Unknown","Undeclared","150","130","40410","34110"
"In post","2022","60-64","Unknown","Unknown","3080","2610","32070","27570"
"In post","2022","60-64","White","Heterosexual / straight","24090","20005","32280","27570"
"In post","2022","60-64","White","LGBO","605","515","33280","27570"
"In post","2022","60-64","White","Undeclared","2830","2265","30910","27570"
"In post","2022","60-64","White","Unknown","3700","2835","31710","27570"
"In post","2022","65+","Asian","Heterosexual / straight","500","400","31030","27570"
"In post","2022","65+","Asian","LGBO","25","20","[c]","[c]"
"In post","2022","65+","Asian","Undeclared","95","75","27830","26400"
"In post","2022","65+","Asian","Unknown","135","105","32200","26400"
"In post","2022","65+","Black","Heterosexual / straight","295","265","30240","27220"
"In post","2022","65+","Black","LGBO","10","10","[c]","[c]"
"In post","2022","65+","Black","Undeclared","30","25","27630","25730"
"In post","2022","65+","Black","Unknown","65","55","31600","28410"
"In post","2022","65+","Mixed","Heterosexual / straight","100","80","32460","27570"
"In post","2022","65+","Mixed","LGBO","[c]","[c]","[c]","[c]"
