"Status","Year","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Bedfordshire and Hertfordshire","15","15","47820","36710"
"In post","2022","Commercial","Berkshire, Buckinghamshire and Oxfordshire","180","175","38740","36970"
"In post","2022","Commercial","Cheshire","25","25","41710","38940"
"In post","2022","Commercial","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2022","Commercial","Cumbria","20","20","39670","35900"
"In post","2022","Commercial","Derbyshire and Nottinghamshire","90","85","42150","39010"
"In post","2022","Commercial","Devon","235","225","43350","43280"
"In post","2022","Commercial","Dorset and Somerset","130","125","41130","42220"
"In post","2022","Commercial","East Anglia","185","175","37940","36820"
"In post","2022","Commercial","East Wales","170","165","37480","32890"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","10","10","36670","34800"
"In post","2022","Commercial","Eastern Scotland","105","100","34560","29550"
"In post","2022","Commercial","Essex","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","1490","1430","38990","37400"
"In post","2022","Commercial","Greater Manchester","240","235","39180","36630"
"In post","2022","Commercial","Hampshire and Isle of Wight","245","235","36150","34800"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","15","15","40770","36910"
"In post","2022","Commercial","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","100","100","46370","44420"
"In post","2022","Commercial","Inner London - West","815","795","47790","42470"
"In post","2022","Commercial","Kent","15","15","42540","37460"
"In post","2022","Commercial","Lancashire","65","60","37070","32170"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","20","20","43970","38150"
"In post","2022","Commercial","Lincolnshire","15","15","39820","38550"
"In post","2022","Commercial","Merseyside","275","265","34950","31990"
"In post","2022","Commercial","North Eastern Scotland","10","5","[c]","[c]"
"In post","2022","Commercial","North Yorkshire","55","55","38290","37350"
"In post","2022","Commercial","Northern Ireland","10","10","31730","30960"
"In post","2022","Commercial","Northumberland, and Tyne and Wear","85","80","37520","36320"
"In post","2022","Commercial","Outer London - East and North East","10","10","[c]","[c]"
"In post","2022","Commercial","Outer London - South","115","110","43200","41950"
"In post","2022","Commercial","Outer London - West and North West","65","60","36850","32090"
"In post","2022","Commercial","Overseas","40","40","48740","42130"
"In post","2022","Commercial","Shropshire and Staffordshire","120","115","38280","33370"
"In post","2022","Commercial","South Yorkshire","255","240","35610","33650"
"In post","2022","Commercial","Southern Scotland","50","50","39680","39630"
"In post","2022","Commercial","Surrey, East and West Sussex","35","35","42780","39330"
"In post","2022","Commercial","Tees Valley and Durham","95","95","38780","36500"
"In post","2022","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","West Central Scotland","130","130","33930","33000"
"In post","2022","Commercial","West Midlands","150","145","37940","36500"
"In post","2022","Commercial","West Wales and The Valleys","200","185","33260","31040"
"In post","2022","Commercial","West Yorkshire","310","295","41510","36820"
"In post","2022","Communications","Bedfordshire and Hertfordshire","20","20","35780","33200"
"In post","2022","Communications","Berkshire, Buckinghamshire and Oxfordshire","85","80","34150","33000"
"In post","2022","Communications","Cheshire","15","15","37680","36860"
"In post","2022","Communications","Cornwall and Isles of Scilly","15","10","23600","21380"
"In post","2022","Communications","Cumbria","5","5","[c]","[c]"
"In post","2022","Communications","Derbyshire and Nottinghamshire","75","75","40000","40350"
"In post","2022","Communications","Devon","45","45","39060","37420"
"In post","2022","Communications","Dorset and Somerset","50","50","36010","33290"
"In post","2022","Communications","East Anglia","55","50","33290","31170"
"In post","2022","Communications","East Wales","275","260","39920","38160"
"In post","2022","Communications","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2022","Communications","Eastern Scotland","45","45","40220","37710"
"In post","2022","Communications","Essex","10","10","[c]","[c]"
"In post","2022","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","195","180","36640","34860"
"In post","2022","Communications","Greater Manchester","105","105","34860","30450"
"In post","2022","Communications","Hampshire and Isle of Wight","170","165","34060","33000"
"In post","2022","Communications","Herefordshire, Worcestershire and Warwickshire","15","15","38610","36960"
"In post","2022","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Inner London - East","245","235","47220","41550"
"In post","2022","Communications","Inner London - West","1885","1840","47000","43400"
"In post","2022","Communications","Kent","5","5","[c]","[c]"
"In post","2022","Communications","Lancashire","30","30","34650","33300"
"In post","2022","Communications","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2022","Communications","Lincolnshire","20","15","33200","33300"
"In post","2022","Communications","Merseyside","80","80","40610","39160"
"In post","2022","Communications","North Yorkshire","20","20","35590","35900"
"In post","2022","Communications","Northern Ireland","30","30","41910","37910"
"In post","2022","Communications","Northumberland, and Tyne and Wear","70","65","38130","34010"
"In post","2022","Communications","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outer London - South","40","40","43270","40450"
"In post","2022","Communications","Outer London - West and North West","40","40","34830","34770"
"In post","2022","Communications","Overseas","10","10","43080","40610"
"In post","2022","Communications","Shropshire and Staffordshire","55","50","35010","33000"
"In post","2022","Communications","South Yorkshire","55","50","40170","38180"
"In post","2022","Communications","Southern Scotland","5","5","[c]","[c]"
"In post","2022","Communications","Surrey, East and West Sussex","20","20","39980","38430"
"In post","2022","Communications","Tees Valley and Durham","35","35","31500","29360"
"In post","2022","Communications","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","West Central Scotland","30","30","34860","33370"
"In post","2022","Communications","West Midlands","90","90","42500","38810"
"In post","2022","Communications","West Wales and The Valleys","105","100","32450","29430"
"In post","2022","Communications","West Yorkshire","90","90","47970","49530"
"In post","2022","Corporate Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Dorset and Somerset","5","5","[c]","[c]"
"In post","2022","Corporate Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","30","25","48080","47010"
"In post","2022","Corporate Finance","Hampshire and Isle of Wight","25","25","38140","38070"
"In post","2022","Corporate Finance","Inner London - East","20","20","44000","39000"
"In post","2022","Corporate Finance","Inner London - West","35","35","64340","64570"
"In post","2022","Corporate Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","West Central Scotland","10","10","45380","42200"
"In post","2022","Corporate Finance","West Midlands","10","10","45850","40800"
"In post","2022","Counter Fraud","Bedfordshire and Hertfordshire","115","105","30830","29290"
"In post","2022","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","95","80","28270","29290"
"In post","2022","Counter Fraud","Cheshire","30","25","27920","27570"
"In post","2022","Counter Fraud","Cornwall and Isles of Scilly","50","45","28780","27570"
"In post","2022","Counter Fraud","Cumbria","20","15","28110","27570"
"In post","2022","Counter Fraud","Derbyshire and Nottinghamshire","215","185","28280","27570"
"In post","2022","Counter Fraud","Devon","100","85","27950","27570"
"In post","2022","Counter Fraud","Dorset and Somerset","90","80","28050","27570"
"In post","2022","Counter Fraud","East Anglia","115","100","27850","27570"
"In post","2022","Counter Fraud","East Wales","220","195","26230","24500"
"In post","2022","Counter Fraud","East Yorkshire and Northern Lincolnshire","85","75","28100","27570"
"In post","2022","Counter Fraud","Eastern Scotland","155","140","26860","27570"
