"Status","Year","Function_of_post","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","220","205","31590","29750"
"In post","2022","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","250","245","36600","32770"
"In post","2022","Analysis","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Companies House","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","London","Female","50","45","60310","56360"
"In post","2022","Analysis","Competition and Markets Authority","London","Male","80","80","63390","58000"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Electronics and Components Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","Female","155","145","38820","38070"
"In post","2022","Analysis","Defence Science and Technology Laboratory","Outside London","Male","355","340","42090","42020"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","85","85","42050","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","150","145","43820","37820"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","Female","55","50","47070","38360"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","London","Male","85","85","49470","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","Female","40","35","48220","45690"
"In post","2022","Analysis","Department for Education (excl. agencies)","London","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","Female","80","75","41850","41990"
"In post","2022","Analysis","Department for Education (excl. agencies)","Outside London","Male","55","55","43060","42500"
"In post","2022","Analysis","Department for International Trade","London","Female","95","95","42420","32920"
"In post","2022","Analysis","Department for International Trade","London","Male","155","155","45150","47870"
"In post","2022","Analysis","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Female","75","70","48200","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","London","Male","125","125","48030","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Female","15","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","Female","145","140","48440","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","London","Male","175","170","47860","54110"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","Female","125","115","45530","39000"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","London","Male","125","125","46580","40270"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","Female","185","170","41860","37250"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Outside London","Male","190","185","39870","35590"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Female","185","175","52380","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","London","Male","130","125","52240","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","Female","45","45","43850","49530"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","Male","45","45","48930","50620"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","Female","30","30","26910","26130"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Outside London","Male","30","25","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Outside London","Female","[c]","[c]","[c]","[c]"
