"Status","Year","Age","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Animal and Plant Health Agency","AA/AO","10","10","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office (excl. agencies)","EO","10","10","25700","25800"
"In post","2022","16-19","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Criminal Injuries Compensation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Crown Office and Procurator Fiscal Service","AA/AO","10","10","21050","21050"
"In post","2022","16-19","Crown Prosecution Service","AA/AO","30","30","21350","20500"
"In post","2022","16-19","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Electronics and Components Agency","AA/AO","15","15","17490","17450"
"In post","2022","16-19","Defence Equipment and Support","EO","105","105","18590","18030"
"In post","2022","16-19","Defence Science and Technology Laboratory","AA/AO","15","15","19440","22230"
"In post","2022","16-19","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","EO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","15","15","24970","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","EO","10","10","24230","23970"
"In post","2022","16-19","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","AA/AO","110","110","21620","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","EO","35","35","27820","27570"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","AA/AO","75","60","19130","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","AA/AO","10","10","20330","21840"
"In post","2022","16-19","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Unknown","25","25","19270","19110"
"In post","2022","16-19","Food Standards Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","AA/AO","25","20","21030","20970"
"In post","2022","16-19","HM Courts and Tribunals Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AA/AO","10","10","21040","20340"
"In post","2022","16-19","HM Prison and Probation Service","AA/AO","160","160","23300","23140"
"In post","2022","16-19","HM Prison and Probation Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","AA/AO","180","170","21360","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","EO","20","20","27180","26590"
"In post","2022","16-19","HM Treasury (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
