"Status","Year","Disability","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","Male","60","55","45960","38790"
"In post","2022","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","Female","50","45","38030","36840"
"In post","2022","Declared disabled","Analysis","Operational Delivery","Male","35","35","35330","32250"
"In post","2022","Declared disabled","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","Female","25","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","Male","35","35","45190","41750"
"In post","2022","Declared disabled","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","Female","30","25","43620","42400"
"In post","2022","Declared disabled","Analysis","Policy","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Security","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Security","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","Female","75","70","41360","38340"
"In post","2022","Declared disabled","Analysis","Social Research","Male","30","30","37860","37880"
"In post","2022","Declared disabled","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","Female","105","100","42320","38340"
"In post","2022","Declared disabled","Analysis","Statistics","Male","115","110","41920","38340"
"In post","2022","Declared disabled","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","Female","205","195","37420","37100"
"In post","2022","Declared disabled","Commercial","Commercial","Male","150","150","39640","37400"
"In post","2022","Declared disabled","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
