"Status","Year","Disability","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","90","85","33660","27570"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","Heterosexual / straight","190","175","25690","23230"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","LGBO","40","40","25990","21260"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ards and North Down","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","Heterosexual / straight","95","85","31330","31060"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barking & Dagenham and Havering","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","Heterosexual / straight","105","100","35840","31880"
"In post","2022","Declared disabled","Barnet","London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Barnet","London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","360","315","27340","27570"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","LGBO","35","30","27620","27120"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","35","30","26290","26000"
"In post","2022","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","1075","1025","36470","33330"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","95","90","31020","28710"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","190","180","39310","38600"
"In post","2022","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","40","40","35810","35400"
"In post","2022","Declared disabled","Bedford","Outside London","Heterosexual / straight","85","75","31120","28140"
"In post","2022","Declared disabled","Bedford","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bedford","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","Heterosexual / straight","200","185","30900","28920"
"In post","2022","Declared disabled","Belfast","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Belfast","Outside London","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Berkshire","Outside London","Heterosexual / straight","250","235","34060","30950"
"In post","2022","Declared disabled","Berkshire","Outside London","LGBO","35","30","32750","29290"
"In post","2022","Declared disabled","Berkshire","Outside London","Undeclared","35","30","30300","29290"
"In post","2022","Declared disabled","Berkshire","Outside London","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","Heterosexual / straight","140","135","30870","31060"
"In post","2022","Declared disabled","Bexley and Greenwich","London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bexley and Greenwich","London","Unknown","15","10","[c]","[c]"
"In post","2022","Declared disabled","Birmingham","Outside London","Heterosexual / straight","1095","1010","31000","27570"
"In post","2022","Declared disabled","Birmingham","Outside London","LGBO","120","115","31140","27570"
"In post","2022","Declared disabled","Birmingham","Outside London","Undeclared","135","120","29210","27570"
"In post","2022","Declared disabled","Birmingham","Outside London","Unknown","115","95","27460","26120"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","Heterosexual / straight","55","50","27740","27570"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Blackburn with Darwen","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Blackpool","Outside London","Heterosexual / straight","610","540","28290","27570"
"In post","2022","Declared disabled","Blackpool","Outside London","LGBO","70","70","27660","27570"
"In post","2022","Declared disabled","Blackpool","Outside London","Undeclared","85","75","29100","27570"
"In post","2022","Declared disabled","Blackpool","Outside London","Unknown","80","70","26940","27570"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","Heterosexual / straight","100","85","26160","26410"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Bournemouth, Christchurch and Poole","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Outside London","Heterosexual / straight","255","220","26090","24090"
"In post","2022","Declared disabled","Bradford","Outside London","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Bradford","Outside London","Undeclared","30","25","26800","26470"
"In post","2022","Declared disabled","Bradford","Outside London","Unknown","30","25","23740","22080"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","Heterosexual / straight","45","40","28030","27570"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Breckland and South Norfolk","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Brent","London","Heterosexual / straight","40","40","30730","31060"
"In post","2022","Declared disabled","Brent","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Brent","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Brent","London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","Heterosexual / straight","90","75","27480","27570"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Bridgend and Neath Port Talbot","Outside London","Undeclared","5","5","[c]","[c]"
