"Status","Year","Disability","Function_of_post","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Submarine Delivery Agency","Unknown","35","35","36540","33160"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The Insolvency Service","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The Insolvency Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The Insolvency Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The Insolvency Service","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The National Archives","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The National Archives","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The National Archives","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","The National Archives","SEO/HEO","65","65","40510","38620"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Debt Management Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Debt Management Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Debt Management Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Export Finance","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Export Finance","SEO/HEO","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Health Security Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Health Security Agency","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Health Security Agency","G6/G7","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Health Security Agency","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Health Security Agency","SEO/HEO","60","60","35710","33950"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Hydrographic Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Hydrographic Office","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Hydrographic Office","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Hydrographic Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Hydrographic Office","SEO/HEO","70","70","40520","42510"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Space Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Space Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Statistics Authority","EO","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Statistics Authority","G6/G7","125","125","53430","51210"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Statistics Authority","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Statistics Authority","SEO/HEO","105","100","35190","36840"
"In post","2022","Declared non-disabled","Digital, Data & Technology","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Valuation Office Agency","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Valuation Office Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Valuation Office Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Vehicle Certification Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Vehicle Certification Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Veterinary Medicines Directorate","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Veterinary Medicines Directorate","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Water Services Regulation Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Water Services Regulation Authority","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Welsh Revenue Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Welsh Revenue Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Welsh Revenue Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Welsh Revenue Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Wilton Park","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Wilton Park","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Wilton Park","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Digital, Data & Technology","Wilton Park","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Advisory, Conciliation and Arbitration Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Advisory, Conciliation and Arbitration Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Advisory, Conciliation and Arbitration Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Cabinet Office (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Cabinet Office (excl. agencies)","G6/G7","35","35","57140","54700"
"In post","2022","Declared non-disabled","Finance","Cabinet Office (excl. agencies)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Cabinet Office (excl. agencies)","SEO/HEO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Companies House","AA/AO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Companies House","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Companies House","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Companies House","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Competition and Markets Authority","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Commercial Service","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Commercial Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Commercial Service","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Office and Procurator Fiscal Service","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Office and Procurator Fiscal Service","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Office and Procurator Fiscal Service","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Prosecution Service","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Prosecution Service","EO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Prosecution Service","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Prosecution Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Crown Prosecution Service","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Electronics and Components Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Equipment and Support","EO","105","100","21950","20560"
"In post","2022","Declared non-disabled","Finance","Defence Equipment and Support","G6/G7","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Equipment and Support","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Equipment and Support","SEO/HEO","100","95","35730","34120"
"In post","2022","Declared non-disabled","Finance","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Science and Technology Laboratory","G6/G7","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Defence Science and Technology Laboratory","SEO/HEO","30","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","55","50","62070","60430"
"In post","2022","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","50","45","40350","40050"
"In post","2022","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","G6/G7","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Digital, Culture, Media and Sport","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Education (excl. agencies)","EO","35","35","26310","26000"
"In post","2022","Declared non-disabled","Finance","Department for Education (excl. agencies)","G6/G7","125","120","56150","53760"
"In post","2022","Declared non-disabled","Finance","Department for Education (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Education (excl. agencies)","SEO/HEO","145","145","36050","36500"
"In post","2022","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","35","30","25680","25440"
"In post","2022","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","110","105","54880","52450"
"In post","2022","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","160","150","35520","36520"
"In post","2022","Declared non-disabled","Finance","Department for International Trade","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for International Trade","G6/G7","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for International Trade","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","45","45","58630","56130"
"In post","2022","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","40","40","38780","39600"
"In post","2022","Declared non-disabled","Finance","Department for Transport (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Transport (excl. agencies)","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Transport (excl. agencies)","G6/G7","70","70","58590","54870"
"In post","2022","Declared non-disabled","Finance","Department for Transport (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Transport (excl. agencies)","SEO/HEO","40","40","39850","39360"
"In post","2022","Declared non-disabled","Finance","Department for Work and Pensions (excl. agencies)","AA/AO","140","120","21100","21260"
"In post","2022","Declared non-disabled","Finance","Department for Work and Pensions (excl. agencies)","EO","185","170","28020","27570"
"In post","2022","Declared non-disabled","Finance","Department for Work and Pensions (excl. agencies)","G6/G7","330","320","56970","54070"
"In post","2022","Declared non-disabled","Finance","Department for Work and Pensions (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department for Work and Pensions (excl. agencies)","SEO/HEO","830","785","35440","35310"
"In post","2022","Declared non-disabled","Finance","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department of Health and Social Care (excl. agencies)","EO","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department of Health and Social Care (excl. agencies)","G6/G7","50","45","57060","55360"
"In post","2022","Declared non-disabled","Finance","Department of Health and Social Care (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Department of Health and Social Care (excl. agencies)","SEO/HEO","70","65","35810","36820"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Licensing Agency","AA/AO","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Licensing Agency","EO","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Licensing Agency","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Licensing Agency","SEO/HEO","55","55","36650","34730"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Standards Agency","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Standards Agency","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Driver and Vehicle Standards Agency","SEO/HEO","35","35","36520","38650"
"In post","2022","Declared non-disabled","Finance","Education and Skills Funding Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Education and Skills Funding Agency","EO","35","35","25930","26000"
"In post","2022","Declared non-disabled","Finance","Education and Skills Funding Agency","G6/G7","165","160","54580","50630"
"In post","2022","Declared non-disabled","Finance","Education and Skills Funding Agency","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Education and Skills Funding Agency","SEO/HEO","320","310","35170","36500"
"In post","2022","Declared non-disabled","Finance","Estyn","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","FCDO Services","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","FCDO Services","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","FCDO Services","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","FCDO Services","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","FCDO Services","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Food Standards Agency","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Food Standards Agency","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Food Standards Agency","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","G6/G7","60","55","57770","57400"
"In post","2022","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","SEO/HEO","60","60","38260","38500"
"In post","2022","Declared non-disabled","Finance","Government Actuary's Department","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Actuary's Department","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Actuary's Department","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Internal Audit Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Internal Audit Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Internal Audit Agency","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Legal Department","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Legal Department","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Legal Department","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Legal Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Government Legal Department","SEO/HEO","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Health and Safety Executive","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Health and Safety Executive","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Health and Safety Executive","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Health and Safety Executive","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Courts and Tribunals Service","AA/AO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Courts and Tribunals Service","EO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Courts and Tribunals Service","G6/G7","30","30","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Courts and Tribunals Service","SEO/HEO","60","60","37770","38130"
"In post","2022","Declared non-disabled","Finance","HM Land Registry","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Land Registry","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Land Registry","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","AA/AO","550","445","21740","21250"
"In post","2022","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","EO","260","235","27720","26820"
"In post","2022","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","G6/G7","260","255","60660","58600"
"In post","2022","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","SCS level","30","30","88670","78250"
"In post","2022","Declared non-disabled","Finance","HM Revenue and Customs (excl. agencies)","SEO/HEO","570","545","37730","37930"
"In post","2022","Declared non-disabled","Finance","HM Treasury (excl. agencies)","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Treasury (excl. agencies)","EO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Treasury (excl. agencies)","G6/G7","30","30","61600","59680"
"In post","2022","Declared non-disabled","Finance","HM Treasury (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","HM Treasury (excl. agencies)","SEO/HEO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Institute for Apprenticeships and Technical Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Institute for Apprenticeships and Technical Education","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Institute for Apprenticeships and Technical Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Institute for Apprenticeships and Technical Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Intellectual Property Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Intellectual Property Office","EO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Intellectual Property Office","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Intellectual Property Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Intellectual Property Office","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Legal Aid Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Legal Aid Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Maritime and Coastguard Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Maritime and Coastguard Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Maritime and Coastguard Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Maritime and Coastguard Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Maritime and Coastguard Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Medicines and Healthcare Products Regulatory Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Medicines and Healthcare Products Regulatory Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Medicines and Healthcare Products Regulatory Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Medicines and Healthcare Products Regulatory Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Medicines and Healthcare Products Regulatory Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Met Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Met Office","G6/G7","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Met Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Met Office","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Ministry of Defence (excl. agencies)","AA/AO","140","125","21660","21380"
"In post","2022","Declared non-disabled","Finance","Ministry of Defence (excl. agencies)","EO","330","315","27510","26670"
"In post","2022","Declared non-disabled","Finance","Ministry of Defence (excl. agencies)","G6/G7","160","160","61350","58550"
"In post","2022","Declared non-disabled","Finance","Ministry of Defence (excl. agencies)","SCS level","30","30","89840","86530"
"In post","2022","Declared non-disabled","Finance","Ministry of Defence (excl. agencies)","SEO/HEO","555","540","40000","40000"
"In post","2022","Declared non-disabled","Finance","Ministry of Justice (excl. agencies)","AA/AO","10","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Ministry of Justice (excl. agencies)","EO","65","60","27230","26900"
"In post","2022","Declared non-disabled","Finance","Ministry of Justice (excl. agencies)","G6/G7","105","100","61030","59850"
"In post","2022","Declared non-disabled","Finance","Ministry of Justice (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","Ministry of Justice (excl. agencies)","SEO/HEO","180","175","39380","41100"
"In post","2022","Declared non-disabled","Finance","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","National Crime Agency","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Finance","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
