"Status","Year","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Commercial","Heterosexual / straight","40","35","38030","37480"
"In post","2022","Attorney General's Departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Heterosexual / straight","70","70","42080","39750"
"In post","2022","Attorney General's Departments","Communications","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Communications","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Heterosexual / straight","170","165","46440","40000"
"In post","2022","Attorney General's Departments","Counter Fraud","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Counter Fraud","Unknown","50","50","48220","40410"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","145","140","41850","38540"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Digital, Data and Technology","Unknown","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Heterosexual / straight","175","165","31280","26970"
"In post","2022","Attorney General's Departments","Finance","LGBO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Undeclared","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Finance","Unknown","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Heterosexual / straight","200","195","36990","31420"
"In post","2022","Attorney General's Departments","Human Resources","LGBO","10","10","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Undeclared","15","15","[c]","[c]"
"In post","2022","Attorney General's Departments","Human Resources","Unknown","25","25","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
