"Status","Year","Disability","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","East Midlands (England)","65","60","37060","33310"
"In post","2022","Declared disabled","Attorney General's Departments","East of England","55","50","40860","34480"
"In post","2022","Declared disabled","Attorney General's Departments","London","440","410","49380","51510"
"In post","2022","Declared disabled","Attorney General's Departments","North East (England)","45","40","35820","28430"
"In post","2022","Declared disabled","Attorney General's Departments","North West (England)","130","120","39780","32680"
"In post","2022","Declared disabled","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","South East (England)","90","85","42550","39750"
"In post","2022","Declared disabled","Attorney General's Departments","South West (England)","40","35","38570","32050"
"In post","2022","Declared disabled","Attorney General's Departments","Wales","35","35","38630","36240"
"In post","2022","Declared disabled","Attorney General's Departments","West Midlands (England)","60","55","44040","48080"
"In post","2022","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","100","95","40110","34480"
"In post","2022","Declared disabled","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","East of England","30","30","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","London","520","510","49080","49700"
"In post","2022","Declared disabled","Cabinet Office","North East (England)","65","60","28870","24100"
"In post","2022","Declared disabled","Cabinet Office","North West (England)","70","70","40450","38890"
"In post","2022","Declared disabled","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Scotland","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South East (England)","20","20","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","South West (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Wales","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","West Midlands (England)","15","15","[c]","[c]"
"In post","2022","Declared disabled","Cabinet Office","Yorkshire and The Humber","110","105","35540","33300"
"In post","2022","Declared disabled","Chancellor's other departments","London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","North West (England)","20","20","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","London","45","45","54170","52190"
"In post","2022","Declared disabled","Competition and Markets Authority","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East Midlands (England)","30","30","30880","30650"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","East of England","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","London","570","555","47120","42630"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North East (England)","40","35","35050","30950"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","North West (England)","70","65","34040","31360"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Scotland","40","40","33240","30950"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South East (England)","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","South West (England)","140","135","35890","36160"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Wales","210","190","33570","30380"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","West Midlands (England)","85","80","34220","30950"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","20","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","London","150","145","47480","40510"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","North West (England)","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","East Midlands (England)","35","35","37260","36640"
"In post","2022","Declared disabled","Department for Education","East of England","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","London","225","215","48780","45250"
"In post","2022","Declared disabled","Department for Education","North East (England)","90","85","36650","36500"
"In post","2022","Declared disabled","Department for Education","North West (England)","120","120","38640","36500"
"In post","2022","Declared disabled","Department for Education","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","South West (England)","20","20","[c]","[c]"
