"Status","Year","Disability","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","London","Female","125","115","48200","42340"
"In post","2022","Declared disabled","Analysis","London","Male","155","150","45490","41750"
"In post","2022","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Female","30","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South East (England)","Female","40","35","42550","38340"
"In post","2022","Declared disabled","Analysis","South East (England)","Male","45","40","40790","38070"
"In post","2022","Declared disabled","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Wales","Female","80","75","35950","36840"
"In post","2022","Declared disabled","Analysis","Wales","Male","40","40","36640","31700"
"In post","2022","Declared disabled","Analysis","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","Female","35","30","38690","36050"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","Male","30","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","London","Female","45","45","42740","40600"
"In post","2022","Declared disabled","Commercial","London","Male","45","45","42890","40650"
"In post","2022","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Female","35","30","34570","33370"
"In post","2022","Declared disabled","Commercial","North West (England)","Male","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Female","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","South West (England)","Female","60","60","39920","39730"
"In post","2022","Declared disabled","Commercial","South West (England)","Male","50","50","44170","42080"
"In post","2022","Declared disabled","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","Male","15","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","East Midlands (England)","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Communications","East Midlands (England)","Male","25","20","[c]","[c]"
