"Status","Year","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","London","135","135","41590","40110"
"In post","2022","Asian","Commercial","Outside London","165","160","36220","33300"
"In post","2022","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","145","140","41390","38870"
"In post","2022","Asian","Communications","Outside London","45","45","34900","32010"
"In post","2022","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Corporate Finance","London","15","15","[c]","[c]"
"In post","2022","Asian","Corporate Finance","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Counter Fraud","London","325","290","29270","25600"
"In post","2022","Asian","Counter Fraud","Outside London","290","270","27000","27570"
"In post","2022","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","London","665","655","47110","42290"
"In post","2022","Asian","Digital, Data and Technology","Outside London","735","725","39180","36050"
"In post","2022","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","London","190","190","45580","40010"
"In post","2022","Asian","Economics","Outside London","30","30","32630","31000"
"In post","2022","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","London","530","515","44190","40940"
"In post","2022","Asian","Finance","Outside London","460","450","36370","32870"
"In post","2022","Asian","Finance","Overseas","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","London","340","325","40880","36650"
"In post","2022","Asian","Human Resources","Outside London","215","210","33390","31090"
"In post","2022","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","London","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","London","140","130","33760","30090"
"In post","2022","Asian","Intelligence Analysis","Outside London","55","55","28450","26160"
"In post","2022","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","London","50","50","48710","49750"
"In post","2022","Asian","Internal Audit","Outside London","35","35","43400","39750"
"In post","2022","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","International Trade","London","110","110","46050","38540"
"In post","2022","Asian","International Trade","Outside London","20","20","[c]","[c]"
"In post","2022","Asian","International Trade","Overseas","10","10","[c]","[c]"
"In post","2022","Asian","Knowledge and Information Management","London","75","70","36730","34260"
"In post","2022","Asian","Knowledge and Information Management","Outside London","45","45","30600","28050"
