"Status","Year","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","East Midlands (England)","Female","Heterosexual / straight","9035","8155","30110","27570"
"In post","2022","East Midlands (England)","Female","LGBO","545","525","29820","27520"
"In post","2022","East Midlands (England)","Female","Undeclared","1110","995","30100","27570"
"In post","2022","East Midlands (England)","Female","Unknown","2360","2085","28120","26820"
"In post","2022","East Midlands (England)","Male","Heterosexual / straight","6660","6460","32060","27570"
"In post","2022","East Midlands (England)","Male","LGBO","410","395","30210","27570"
"In post","2022","East Midlands (England)","Male","Undeclared","890","845","32860","30450"
"In post","2022","East Midlands (England)","Male","Unknown","1985","1900","29650","27130"
"In post","2022","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Female","Heterosexual / straight","8830","8010","30410","27570"
"In post","2022","East of England","Female","LGBO","465","445","28910","27570"
"In post","2022","East of England","Female","Undeclared","1075","965","30660","27570"
"In post","2022","East of England","Female","Unknown","2105","1845","30170","27570"
"In post","2022","East of England","Male","Heterosexual / straight","7220","6995","32670","29670"
"In post","2022","East of England","Male","LGBO","355","350","31670","29060"
"In post","2022","East of England","Male","Undeclared","1080","1025","32890","31140"
"In post","2022","East of England","Male","Unknown","1800","1715","31730","29050"
"In post","2022","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","London","Female","Heterosexual / straight","38400","36345","42870","37860"
"In post","2022","London","Female","LGBO","2475","2415","42890","38160"
"In post","2022","London","Female","Undeclared","5095","4790","42020","36720"
"In post","2022","London","Female","Unknown","11200","10585","41270","34770"
"In post","2022","London","Male","Heterosexual / straight","30315","29805","45680","40230"
"In post","2022","London","Male","LGBO","3125","3095","47170","42440"
"In post","2022","London","Male","Undeclared","4645","4525","46200","41520"
"In post","2022","London","Male","Unknown","9570","9395","44260","37930"
"In post","2022","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Female","Heterosexual / straight","13235","11640","29210","26880"
"In post","2022","North East (England)","Female","LGBO","675","650","28840","26820"
"In post","2022","North East (England)","Female","Undeclared","1195","1020","28600","26130"
"In post","2022","North East (England)","Female","Unknown","4220","3565","26540","22080"
"In post","2022","North East (England)","Male","Heterosexual / straight","8870","8515","31910","27570"
"In post","2022","North East (England)","Male","LGBO","615","595","30800","27570"
"In post","2022","North East (England)","Male","Undeclared","1060","1005","32150","27570"
"In post","2022","North East (England)","Male","Unknown","3230","3070","29650","26820"
"In post","2022","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Female","Heterosexual / straight","25305","22890","30110","27570"
"In post","2022","North West (England)","Female","LGBO","1380","1325","29800","27540"
"In post","2022","North West (England)","Female","Undeclared","2570","2275","29400","27570"
"In post","2022","North West (England)","Female","Unknown","7665","6760","27750","25700"
"In post","2022","North West (England)","Male","Heterosexual / straight","17650","17090","32300","27570"
"In post","2022","North West (England)","Male","LGBO","1460","1430","31000","27570"
"In post","2022","North West (England)","Male","Undeclared","2205","2105","32290","27570"
"In post","2022","North West (England)","Male","Unknown","6075","5830","30320","27350"
"In post","2022","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Female","Heterosexual / straight","1365","1255","30800","26820"
"In post","2022","Northern Ireland","Female","LGBO","55","55","28240","26820"
"In post","2022","Northern Ireland","Female","Undeclared","90","85","29790","26820"
"In post","2022","Northern Ireland","Female","Unknown","465","425","28030","24890"
"In post","2022","Northern Ireland","Male","Heterosexual / straight","1540","1505","29830","26590"
"In post","2022","Northern Ireland","Male","LGBO","70","70","28700","26590"
"In post","2022","Northern Ireland","Male","Undeclared","135","135","29820","27370"
"In post","2022","Northern Ireland","Male","Unknown","530","520","27700","24880"
"In post","2022","Northern Ireland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Female","Heterosexual / straight","990","980","49310","49370"
"In post","2022","Overseas","Female","LGBO","60","60","46430","44890"
"In post","2022","Overseas","Female","Undeclared","135","135","45290","40580"
"In post","2022","Overseas","Female","Unknown","325","320","49870","46600"
"In post","2022","Overseas","Male","Heterosexual / straight","1500","1495","49500","46990"
"In post","2022","Overseas","Male","LGBO","120","120","53120","53470"
"In post","2022","Overseas","Male","Undeclared","215","215","47490","42340"
"In post","2022","Overseas","Male","Unknown","335","335","51000","52430"
"In post","2022","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Female","Heterosexual / straight","17320","15810","33380","27570"
"In post","2022","Scotland","Female","LGBO","1030","1000","32370","27570"
"In post","2022","Scotland","Female","Undeclared","1570","1390","31530","27570"
"In post","2022","Scotland","Female","Unknown","7760","6995","30890","27230"
"In post","2022","Scotland","Male","Heterosexual / straight","13515","13070","35270","31540"
"In post","2022","Scotland","Male","LGBO","1095","1070","33610","27570"
"In post","2022","Scotland","Male","Undeclared","1420","1365","34990","30840"
"In post","2022","Scotland","Male","Unknown","7300","7000","32750","29900"
"In post","2022","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Female","Heterosexual / straight","15530","14045","30960","27570"
"In post","2022","South East (England)","Female","LGBO","995","955","30580","28140"
"In post","2022","South East (England)","Female","Undeclared","1995","1800","31670","28570"
"In post","2022","South East (England)","Female","Unknown","3595","3185","30890","27570"
"In post","2022","South East (England)","Male","Heterosexual / straight","13630","13120","33270","30210"
"In post","2022","South East (England)","Male","LGBO","755","735","31860","28810"
"In post","2022","South East (England)","Male","Undeclared","2075","1970","34090","31880"
"In post","2022","South East (England)","Male","Unknown","4050","3845","34720","31020"
"In post","2022","South East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","South East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
