"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Attorney General's Departments","AO","35","35","21600","22200"
"In post","2022","16-19","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Cabinet Office","AO","5","5","[c]","[c]"
"In post","2022","16-19","Cabinet Office","EO","15","15","25660","25520"
"In post","2022","16-19","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","AO","10","10","21500","21130"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy","EO","10","10","26730","27680"
"In post","2022","16-19","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Education","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","AO","25","25","21380","21300"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","EO","15","15","24970","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities","EO","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport","AA","60","45","18310","18310"
"In post","2022","16-19","Department for Transport","AO","30","25","21410","21840"
"In post","2022","16-19","Department for Transport","EO","10","10","24230","23970"
"In post","2022","16-19","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions","AO","115","110","21610","21260"
"In post","2022","16-19","Department for Work and Pensions","EO","35","35","27820","27570"
"In post","2022","16-19","Department of Health and Social Care","AA","10","5","21050","22350"
"In post","2022","16-19","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office","Unknown","25","25","19270","19110"
"In post","2022","16-19","HM Land Registry","AA","10","10","[c]","[c]"
"In post","2022","16-19","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs","AO","180","175","21370","21250"
"In post","2022","16-19","HM Revenue and Customs","EO","30","30","26700","26590"
"In post","2022","16-19","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury","EO","10","10","24300","24300"
"In post","2022","16-19","Home Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","AO","35","30","22260","21680"
"In post","2022","16-19","Home Office","EO","20","20","25880","24880"
"In post","2022","16-19","Ministry of Defence","AA","30","30","17580","17450"
"In post","2022","16-19","Ministry of Defence","AO","20","20","22070","22230"
"In post","2022","16-19","Ministry of Defence","EO","110","110","18840","18030"
"In post","2022","16-19","Ministry of Defence","Unknown","50","50","18010","17140"
"In post","2022","16-19","Ministry of Justice","AA","65","65","20800","20890"
"In post","2022","16-19","Ministry of Justice","AO","125","125","24020","23140"
"In post","2022","16-19","Ministry of Justice","EO","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","AO","5","5","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government","AA","50","50","21300","21050"
"In post","2022","16-19","Scottish Government","AO","30","25","22150","21820"
