"Status","Year","Disability","Region_ITL3","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Female","Heterosexual / straight","55","45","30170","27570"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Male","Heterosexual / straight","40","35","38520","31540"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Female","Heterosexual / straight","135","120","25640","24400"
"In post","2022","Declared disabled","Angus and Dundee City","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Female","Undeclared","15","10","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Female","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Male","Heterosexual / straight","55","55","25820","21830"
"In post","2022","Declared disabled","Angus and Dundee City","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Angus and Dundee City","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Antrim and Newtownabbey","Male","LGBO","[c]","[c]","[c]","[c]"
