"Status","Year","Ethnicity","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Male","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Female","15","15","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Male","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Female","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Male","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Female","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Male","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
