"Status","Year","Age","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Cabinet Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Business, Energy and Industrial Strategy","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Environment, Food and Rural Affairs","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
