"Status","Year","Age","Function_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Analysis","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","Female","10","10","[c]","[c]"
"In post","2022","16-19","Analysis","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Northumberland, and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Northumberland, and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Commercial","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Communications","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
