"Status","Year","Disability","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Commercial","London","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Outside London","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Counter Fraud","London","30","30","30040","30690"
"In post","2022","Declared disabled","Asian","Counter Fraud","Outside London","35","35","27310","27570"
"In post","2022","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","London","50","50","43820","41750"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Outside London","45","40","36790","32760"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","London","40","40","44740","42470"
"In post","2022","Declared disabled","Asian","Finance","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Geography","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Geography","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Geography","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","London","45","45","39520","37450"
"In post","2022","Declared disabled","Asian","Human Resources","Outside London","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","International Trade","London","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","International Trade","Outside London","[c]","[c]","[c]","[c]"
