"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","AA/AO","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","AA/AO","AA","Unknown","15","15","[c]","[c]"
"In post","2022","Commercial","AA/AO","AO","Heterosexual / straight","165","150","22490","21510"
"In post","2022","Commercial","AA/AO","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","AA/AO","AO","Undeclared","30","30","22440","21840"
"In post","2022","Commercial","AA/AO","AO","Unknown","80","75","22960","21840"
"In post","2022","Commercial","EO","EO","Heterosexual / straight","620","590","26300","26350"
"In post","2022","Commercial","EO","EO","LGBO","50","45","26300","26670"
"In post","2022","Commercial","EO","EO","Undeclared","75","70","27050","26780"
"In post","2022","Commercial","EO","EO","Unknown","160","155","26890","26670"
"In post","2022","Commercial","G6/G7","G6","Heterosexual / straight","290","285","68010","66750"
"In post","2022","Commercial","G6/G7","G6","LGBO","10","10","[c]","[c]"
"In post","2022","Commercial","G6/G7","G6","Undeclared","45","40","68970","68500"
"In post","2022","Commercial","G6/G7","G6","Unknown","45","45","68640","67250"
"In post","2022","Commercial","G6/G7","G7","Heterosexual / straight","605","585","53360","52370"
"In post","2022","Commercial","G6/G7","G7","LGBO","40","40","53890","53360"
"In post","2022","Commercial","G6/G7","G7","Undeclared","105","100","53280","53360"
"In post","2022","Commercial","G6/G7","G7","Unknown","95","90","52690","52070"
"In post","2022","Commercial","SCS level","SCS level","Heterosexual / straight","85","85","86730","79530"
"In post","2022","Commercial","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","SCS level","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","SEO/HEO","HEO","Heterosexual / straight","1150","1105","32500","32730"
"In post","2022","Commercial","SEO/HEO","HEO","LGBO","70","70","31850","31990"
"In post","2022","Commercial","SEO/HEO","HEO","Undeclared","135","130","33030","33000"
"In post","2022","Commercial","SEO/HEO","HEO","Unknown","190","180","32600","32790"
"In post","2022","Commercial","SEO/HEO","SEO","Heterosexual / straight","1370","1325","40950","40580"
"In post","2022","Commercial","SEO/HEO","SEO","LGBO","70","70","40940","40500"
