"Status","Year","Ethnicity","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Commercial","London","Heterosexual / straight","115","110","41570","39600"
"In post","2022","Asian","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Heterosexual / straight","140","135","36520","33300"
"In post","2022","Asian","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Outside London","Unknown","15","10","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","London","Heterosexual / straight","125","120","41470","38750"
"In post","2022","Asian","Communications","London","LGBO","5","5","[c]","[c]"
"In post","2022","Asian","Communications","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Heterosexual / straight","40","40","35620","32950"
"In post","2022","Asian","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
