"Status","Year","Disability","Ethnicity","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Female","50","45","31070","27570"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Bedfordshire and Hertfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","35","35","30060","27570"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cheshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cornwall and Isles of Scilly","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Female","50","45","30050","27570"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Male","40","40","29650","28000"
"In post","2022","Declared disabled","Asian","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Dorset and Somerset","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Female","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Eastern Scotland","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Eastern Scotland","Male","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Essex","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Essex","Male","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Essex","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Female","30","30","31480","28220"
"In post","2022","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Male","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Greater Manchester","Female","80","70","28180","27570"
"In post","2022","Declared disabled","Asian","Greater Manchester","Male","85","85","29550","27570"
"In post","2022","Declared disabled","Asian","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Hampshire and Isle of Wight","Female","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Herefordshire, Worcestershire and Warwickshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Inner London - East","Female","160","145","35670","31360"
"In post","2022","Declared disabled","Asian","Inner London - East","Male","135","130","35360","31060"
"In post","2022","Declared disabled","Asian","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Inner London - West","Female","360","340","41700","38160"
"In post","2022","Declared disabled","Asian","Inner London - West","Male","225","220","41310","36650"
"In post","2022","Declared disabled","Asian","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Kent","Female","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Kent","Male","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Kent","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Lancashire","Female","45","40","26440","24800"
"In post","2022","Declared disabled","Asian","Lancashire","Male","65","60","26670","26820"
"In post","2022","Declared disabled","Asian","Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","Female","65","55","24770","22600"
"In post","2022","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","Male","55","50","25200","22080"
"In post","2022","Declared disabled","Asian","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
