"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","AA/AO","Heterosexual / straight","65","60","21600","21260"
"In post","2022","16-19","Asian","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","EO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","16-19","Asian","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Mixed","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","AA/AO","Unknown","340","320","21550","21250"
"In post","2022","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","EO","Unknown","100","100","22500","24340"
"In post","2022","16-19","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Unknown","Unknown","45","45","17940","16720"
"In post","2022","16-19","White","AA/AO","Heterosexual / straight","370","360","21340","21250"
"In post","2022","16-19","White","AA/AO","LGBO","35","35","22730","21680"
"In post","2022","16-19","White","AA/AO","Undeclared","20","15","[c]","[c]"
"In post","2022","16-19","White","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2022","16-19","White","EO","Heterosexual / straight","140","140","23350","24300"
"In post","2022","16-19","White","EO","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","White","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","White","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
