"Status","Year","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","Female","75","65","66440","65470"
"In post","2022","Analysis","Chancellor's other departments","Male","135","130","67610","57250"
"In post","2022","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","Female","55","50","60650","56360"
"In post","2022","Analysis","Competition and Markets Authority","Male","80","80","63000","57840"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Female","150","145","40170","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Male","235","235","43450","39570"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Female","60","55","46740","38320"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Male","90","90","48810","55730"
"In post","2022","Analysis","Department for Education","Female","115","110","43880","42420"
"In post","2022","Analysis","Department for Education","Male","85","85","45600","45540"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Female","230","215","31680","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Male","285","280","35710","30220"
"In post","2022","Analysis","Department for International Trade","Female","100","95","42260","32920"
"In post","2022","Analysis","Department for International Trade","Male","155","155","45180","48600"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Female","90","85","46770","48200"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Male","140","140","46860","50660"
"In post","2022","Analysis","Department for Transport","Female","190","180","44740","42490"
"In post","2022","Analysis","Department for Transport","Male","210","205","45360","42470"
"In post","2022","Analysis","Department for Work and Pensions","Female","330","300","43290","37380"
"In post","2022","Analysis","Department for Work and Pensions","Male","345","340","42800","37380"
"In post","2022","Analysis","Department of Health and Social Care","Female","260","245","50440","53360"
"In post","2022","Analysis","Department of Health and Social Care","Male","190","185","51410","53360"
"In post","2022","Analysis","Estyn","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Male","35","35","59020","58370"
"In post","2022","Analysis","HM Land Registry","Female","15","15","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Male","15","15","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Female","355","340","45350","40520"
"In post","2022","Analysis","HM Revenue and Customs","Male","440","430","46480","40520"
"In post","2022","Analysis","HM Treasury","Female","20","20","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Male","40","40","62850","55840"
"In post","2022","Analysis","Ministry of Defence","Female","290","270","38680","38070"
"In post","2022","Analysis","Ministry of Defence","Male","520","505","41010","38250"
"In post","2022","Analysis","Ministry of Justice","Female","270","255","47070","42010"
"In post","2022","Analysis","Ministry of Justice","Male","290","285","46030","42010"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Female","70","65","40690","34850"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Male","60","55","40060","35010"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Female","60","60","41200","34000"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Male","115","115","45460","38500"
"In post","2022","Analysis","Office of Rail and Road","Female","15","15","[c]","[c]"
