"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cabinet Office","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","EO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","G6/G7","Female","50","40","80090","78140"
"In post","2022","Analysis","Chancellor's other departments","G6/G7","Male","80","75","86040","81240"
"In post","2022","Analysis","Chancellor's other departments","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO/HEO","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO/HEO","Male","40","40","39210","38540"
"In post","2022","Analysis","Competition and Markets Authority","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6/G7","Female","35","30","63490","59990"
"In post","2022","Analysis","Competition and Markets Authority","G6/G7","Male","50","50","64690","60210"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","Female","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Female","30","30","60510","57730"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6/G7","Male","60","60","60680","57850"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","80","80","36500","35640"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","140","140","38010","37100"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6/G7","Male","50","50","57450","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","35","35","37650","38020"
"In post","2022","Analysis","Department for Education","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","G6/G7","Female","35","35","55010","53420"
"In post","2022","Analysis","Department for Education","G6/G7","Male","40","40","54520","53420"
"In post","2022","Analysis","Department for Education","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SEO/HEO","Female","70","65","39330","41990"
"In post","2022","Analysis","Department for Education","SEO/HEO","Male","40","40","37520","36660"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AA/AO","Male","15","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","Female","65","60","25220","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","Male","60","60","25350","25100"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Female","25","20","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6/G7","Male","65","60","52430","49970"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","125","115","32850","30220"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","145","140","33240","30660"
"In post","2022","Analysis","Department for International Trade","EO","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","EO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G6/G7","Female","35","35","56180","51970"
"In post","2022","Analysis","Department for International Trade","G6/G7","Male","75","75","55750","52920"
"In post","2022","Analysis","Department for International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO/HEO","Female","45","45","33280","31800"
"In post","2022","Analysis","Department for International Trade","SEO/HEO","Male","60","60","33750","31800"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","Female","45","40","57920","53870"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6/G7","Male","70","70","56700","53600"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","Female","35","30","35850","34670"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO/HEO","Male","50","50","34770","33210"
"In post","2022","Analysis","Department for Transport","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","Male","25","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G6/G7","Female","75","70","57750","54760"
"In post","2022","Analysis","Department for Transport","G6/G7","Male","90","85","57290","54760"
"In post","2022","Analysis","Department for Transport","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SEO/HEO","Female","70","70","38040","36320"
"In post","2022","Analysis","Department for Transport","SEO/HEO","Male","90","90","36920","35060"
"In post","2022","Analysis","Department for Work and Pensions","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","AA/AO","Male","30","30","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","EO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","EO","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G6/G7","Female","110","95","59420","57230"
"In post","2022","Analysis","Department for Work and Pensions","G6/G7","Male","110","105","60050","57230"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SEO/HEO","Female","175","160","36620","36570"
"In post","2022","Analysis","Department for Work and Pensions","SEO/HEO","Male","180","180","36090","35940"
"In post","2022","Analysis","Department of Health and Social Care","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","G6/G7","Female","155","145","57900","53830"
"In post","2022","Analysis","Department of Health and Social Care","G6/G7","Male","120","115","56900","53360"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SEO/HEO","Female","75","70","36770","36820"
"In post","2022","Analysis","Department of Health and Social Care","SEO/HEO","Male","50","50","34650","32790"
"In post","2022","Analysis","Estyn","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","EO","Female","20","15","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","EO","Male","20","20","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","G6/G7","Female","120","110","60290","62120"
"In post","2022","Analysis","HM Revenue and Customs","G6/G7","Male","155","150","61470","62120"
"In post","2022","Analysis","HM Revenue and Customs","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","SEO/HEO","Female","205","195","37640","37930"
"In post","2022","Analysis","HM Revenue and Customs","SEO/HEO","Male","255","250","38270","37930"
"In post","2022","Analysis","HM Treasury","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","G6/G7","Female","15","10","[c]","[c]"
"In post","2022","Analysis","HM Treasury","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","Analysis","HM Treasury","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","AA/AO","Male","20","20","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","EO","Female","35","35","28290","28100"
"In post","2022","Analysis","Ministry of Defence","EO","Male","35","35","27780","27850"
"In post","2022","Analysis","Ministry of Defence","G6/G7","Female","70","65","52510","47590"
"In post","2022","Analysis","Ministry of Defence","G6/G7","Male","180","175","52130","47660"
"In post","2022","Analysis","Ministry of Defence","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","SEO/HEO","Female","170","160","36500","38070"
"In post","2022","Analysis","Ministry of Defence","SEO/HEO","Male","285","275","36470","38070"
"In post","2022","Analysis","Ministry of Justice","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","AA/AO","Male","[c]","[c]","[c]","[c]"
