"Status","Year","Disability","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","AA","Female","Heterosexual / straight","710","605","20500","20480"
"In post","2022","Declared disabled","AA","Female","LGBO","85","80","21000","21050"
"In post","2022","Declared disabled","AA","Female","Undeclared","140","105","19870","19200"
"In post","2022","Declared disabled","AA","Female","Unknown","60","45","20980","21250"
"In post","2022","Declared disabled","AA","Male","Heterosexual / straight","745","690","20580","20480"
"In post","2022","Declared disabled","AA","Male","LGBO","60","60","20620","20890"
"In post","2022","Declared disabled","AA","Male","Undeclared","105","95","20110","19810"
"In post","2022","Declared disabled","AA","Male","Unknown","80","75","21590","21250"
"In post","2022","Declared disabled","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AO","Female","Heterosexual / straight","6195","5200","22160","21260"
"In post","2022","Declared disabled","AO","Female","LGBO","570","535","22940","21260"
"In post","2022","Declared disabled","AO","Female","Undeclared","920","755","22160","21260"
"In post","2022","Declared disabled","AO","Female","Unknown","745","590","22120","21260"
"In post","2022","Declared disabled","AO","Male","Heterosexual / straight","3795","3555","23530","21380"
"In post","2022","Declared disabled","AO","Male","LGBO","495","475","23260","21260"
"In post","2022","Declared disabled","AO","Male","Undeclared","560","520","23460","21270"
"In post","2022","Declared disabled","AO","Male","Unknown","465","420","23420","21680"
"In post","2022","Declared disabled","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Female","Heterosexual / straight","7745","6845","27790","27570"
"In post","2022","Declared disabled","EO","Female","LGBO","700","665","27700","27570"
"In post","2022","Declared disabled","EO","Female","Undeclared","990","865","27900","27570"
"In post","2022","Declared disabled","EO","Female","Unknown","730","625","28300","27570"
"In post","2022","Declared disabled","EO","Male","Heterosexual / straight","4340","4120","28150","27570"
"In post","2022","Declared disabled","EO","Male","LGBO","635","615","27900","27570"
"In post","2022","Declared disabled","EO","Male","Undeclared","690","645","28150","27570"
"In post","2022","Declared disabled","EO","Male","Unknown","440","405","29560","27570"
"In post","2022","Declared disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G6","Female","Heterosexual / straight","595","565","67800","66680"
"In post","2022","Declared disabled","G6","Female","LGBO","55","50","68250","66230"
"In post","2022","Declared disabled","G6","Female","Undeclared","65","60","69320","67820"
"In post","2022","Declared disabled","G6","Female","Unknown","30","30","68700","66680"
"In post","2022","Declared disabled","G6","Male","Heterosexual / straight","445","430","69710","68010"
"In post","2022","Declared disabled","G6","Male","LGBO","85","85","67450","66430"
"In post","2022","Declared disabled","G6","Male","Undeclared","70","70","70200","68700"
"In post","2022","Declared disabled","G6","Male","Unknown","30","30","68130","66480"
"In post","2022","Declared disabled","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G7","Female","Heterosexual / straight","1695","1615","54750","54280"
"In post","2022","Declared disabled","G7","Female","LGBO","205","200","53990","54030"
"In post","2022","Declared disabled","G7","Female","Undeclared","195","185","55280","54400"
"In post","2022","Declared disabled","G7","Female","Unknown","120","110","55010","54270"
"In post","2022","Declared disabled","G7","Male","Heterosexual / straight","1270","1240","55570","54850"
"In post","2022","Declared disabled","G7","Male","LGBO","245","240","55540","54700"
"In post","2022","Declared disabled","G7","Male","Undeclared","185","180","55840","55210"
"In post","2022","Declared disabled","G7","Male","Unknown","95","95","55840","55540"
"In post","2022","Declared disabled","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HEO","Female","Heterosexual / straight","3420","3205","33500","33300"
"In post","2022","Declared disabled","HEO","Female","LGBO","495","475","33260","33210"
"In post","2022","Declared disabled","HEO","Female","Undeclared","395","375","33520","33300"
"In post","2022","Declared disabled","HEO","Female","Unknown","215","195","33910","33370"
"In post","2022","Declared disabled","HEO","Male","Heterosexual / straight","2505","2420","34170","33370"
"In post","2022","Declared disabled","HEO","Male","LGBO","390","380","33680","33370"
"In post","2022","Declared disabled","HEO","Male","Undeclared","380","365","34410","33550"
"In post","2022","Declared disabled","HEO","Male","Unknown","205","195","35100","34290"
"In post","2022","Declared disabled","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Female","Heterosexual / straight","195","185","86870","79280"
"In post","2022","Declared disabled","SCS level","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Male","Heterosexual / straight","180","180","93010","82320"
"In post","2022","Declared disabled","SCS level","Male","LGBO","30","30","87570","77410"
"In post","2022","Declared disabled","SCS level","Male","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SEO","Female","Heterosexual / straight","2250","2130","41340","40520"
"In post","2022","Declared disabled","SEO","Female","LGBO","250","245","40730","40180"
"In post","2022","Declared disabled","SEO","Female","Undeclared","275","265","41370","40600"
"In post","2022","Declared disabled","SEO","Female","Unknown","115","110","40570","40280"
"In post","2022","Declared disabled","SEO","Male","Heterosexual / straight","1710","1660","42640","41290"
"In post","2022","Declared disabled","SEO","Male","LGBO","235","235","40750","40180"
"In post","2022","Declared disabled","SEO","Male","Undeclared","245","240","42350","41100"
"In post","2022","Declared disabled","SEO","Male","Unknown","130","120","42110","40630"
"In post","2022","Declared disabled","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","SEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Female","Heterosexual / straight","2190","2025","30560","28200"
"In post","2022","Declared disabled","Unknown","Female","LGBO","230","220","30130","27540"
"In post","2022","Declared disabled","Unknown","Female","Undeclared","190","175","31750","30750"
"In post","2022","Declared disabled","Unknown","Female","Unknown","40","35","33260","30210"
"In post","2022","Declared disabled","Unknown","Male","Heterosexual / straight","675","640","33320","31420"
"In post","2022","Declared disabled","Unknown","Male","LGBO","85","85","30010","28200"
"In post","2022","Declared disabled","Unknown","Male","Undeclared","100","95","34260","37060"
"In post","2022","Declared disabled","Unknown","Male","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AA","Female","Heterosexual / straight","4125","3600","20430","20660"
"In post","2022","Declared non-disabled","AA","Female","LGBO","300","285","20830","20890"
"In post","2022","Declared non-disabled","AA","Female","Undeclared","490","385","19630","19200"
"In post","2022","Declared non-disabled","AA","Female","Unknown","415","330","21240","21250"
"In post","2022","Declared non-disabled","AA","Male","Heterosexual / straight","4660","4475","20560","20480"
"In post","2022","Declared non-disabled","AA","Male","LGBO","175","170","20540","20890"
"In post","2022","Declared non-disabled","AA","Male","Undeclared","375","350","20220","19810"
"In post","2022","Declared non-disabled","AA","Male","Unknown","410","380","21420","21010"
"In post","2022","Declared non-disabled","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AO","Female","Heterosexual / straight","33685","29195","22400","21300"
"In post","2022","Declared non-disabled","AO","Female","LGBO","1725","1640","23920","21840"
"In post","2022","Declared non-disabled","AO","Female","Undeclared","3520","2970","22410","21490"
"In post","2022","Declared non-disabled","AO","Female","Unknown","6255","4895","22000","21260"
"In post","2022","Declared non-disabled","AO","Male","Heterosexual / straight","24010","23200","24460","22080"
"In post","2022","Declared non-disabled","AO","Male","LGBO","1360","1320","23030","21260"
"In post","2022","Declared non-disabled","AO","Male","Undeclared","1930","1825","24100","21680"
"In post","2022","Declared non-disabled","AO","Male","Unknown","3460","3235","23810","21300"
"In post","2022","Declared non-disabled","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","EO","Female","Heterosexual / straight","39375","35645","27610","27570"
"In post","2022","Declared non-disabled","EO","Female","LGBO","1705","1640","27760","27570"
"In post","2022","Declared non-disabled","EO","Female","Undeclared","3560","3150","27770","27570"
"In post","2022","Declared non-disabled","EO","Female","Unknown","6295","5270","27910","27570"
"In post","2022","Declared non-disabled","EO","Male","Heterosexual / straight","28200","27355","27980","27570"
"In post","2022","Declared non-disabled","EO","Male","LGBO","1805","1765","27620","27570"
"In post","2022","Declared non-disabled","EO","Male","Undeclared","2795","2645","28230","27570"
"In post","2022","Declared non-disabled","EO","Male","Unknown","3505","3310","28350","27570"
"In post","2022","Declared non-disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6","Female","Heterosexual / straight","5240","4950","68340","66990"
"In post","2022","Declared non-disabled","G6","Female","LGBO","220","215","68260","66610"
"In post","2022","Declared non-disabled","G6","Female","Undeclared","405","380","69000","67430"
"In post","2022","Declared non-disabled","G6","Female","Unknown","395","365","68070","67140"
"In post","2022","Declared non-disabled","G6","Male","Heterosexual / straight","5565","5450","69170","67910"
"In post","2022","Declared non-disabled","G6","Male","LGBO","425","420","67950","66740"
"In post","2022","Declared non-disabled","G6","Male","Undeclared","485","465","69650","68260"
"In post","2022","Declared non-disabled","G6","Male","Unknown","525","500","70530","68470"
"In post","2022","Declared non-disabled","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G7","Female","Heterosexual / straight","13785","13080","55030","54290"
"In post","2022","Declared non-disabled","G7","Female","LGBO","670","655","54650","54070"
"In post","2022","Declared non-disabled","G7","Female","Undeclared","1000","960","55300","54540"
"In post","2022","Declared non-disabled","G7","Female","Unknown","1370","1255","54140","53680"
"In post","2022","Declared non-disabled","G7","Male","Heterosexual / straight","13480","13250","55840","55160"
"In post","2022","Declared non-disabled","G7","Male","LGBO","1040","1030","55430","54700"
"In post","2022","Declared non-disabled","G7","Male","Undeclared","1155","1130","56210","55210"
"In post","2022","Declared non-disabled","G7","Male","Unknown","1950","1880","53940","54160"
"In post","2022","Declared non-disabled","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G7","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
