"Status","Year","Function_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Angus and Dundee City","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Angus and Dundee City","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ards and North Down","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barking & Dagenham and Havering","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnet","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Barnsley, Doncaster and Rotherham","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","35","35","40290","36300"
"In post","2022","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","40","40","36530","36000"
"In post","2022","Analysis","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Berkshire","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Birmingham","Female","25","25","[c]","[c]"
"In post","2022","Analysis","Birmingham","Male","25","25","[c]","[c]"
"In post","2022","Analysis","Blackpool","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Blackpool","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bournemouth, Christchurch and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Bristol, City of","Female","65","60","37890","36050"
"In post","2022","Analysis","Bristol, City of","Male","70","70","40900","39470"
"In post","2022","Analysis","Buckinghamshire","Female","5","5","[c]","[c]"
"In post","2022","Analysis","Buckinghamshire","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Calderdale and Kirklees","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cambridgeshire CC","Male","10","10","[c]","[c]"
"In post","2022","Analysis","Camden and City of London","Female","75","65","69070","65470"
"In post","2022","Analysis","Camden and City of London","Male","150","145","68020","59180"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Female","20","20","[c]","[c]"
"In post","2022","Analysis","Cardiff and Vale of Glamorgan","Male","15","15","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Hampshire","Female","110","100","38350","38070"
"In post","2022","Analysis","Central Hampshire","Male","290","280","42560","43520"
"In post","2022","Analysis","Central Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Central Valleys","Male","5","5","[c]","[c]"
"In post","2022","Analysis","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","City of Edinburgh","Female","35","35","48630","44890"
"In post","2022","Analysis","City of Edinburgh","Male","35","30","48010","45000"
"In post","2022","Analysis","Clackmannanshire and Fife","Female","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Clackmannanshire and Fife","Male","[c]","[c]","[c]","[c]"
