"Status","Year","Ethnicity","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","London","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Chancellor's other departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Competition and Markets Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","London","35","35","43210","37140"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Business, Energy and Industrial Strategy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","London","20","20","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Digital, Culture, Media and Sport","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","London","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","North East (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Education","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Department for Environment, Food and Rural Affairs","North East (England)","[c]","[c]","[c]","[c]"
