"Status","Year","Ethnicity","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","London","AA/AO","Heterosexual / straight","1820","1635","25210","25110"
"In post","2022","Asian","London","AA/AO","LGBO","60","55","25440","25110"
"In post","2022","Asian","London","AA/AO","Undeclared","210","180","24750","25110"
"In post","2022","Asian","London","AA/AO","Unknown","265","215","25060","25110"
"In post","2022","Asian","London","EO","Heterosexual / straight","3825","3595","29910","30330"
"In post","2022","Asian","London","EO","LGBO","80","75","29940","30600"
"In post","2022","Asian","London","EO","Undeclared","295","260","29970","30330"
"In post","2022","Asian","London","EO","Unknown","385","345","30710","31060"
"In post","2022","Asian","London","G6/G7","Heterosexual / straight","2170","2115","59870","57850"
"In post","2022","Asian","London","G6/G7","LGBO","80","80","57960","55550"
"In post","2022","Asian","London","G6/G7","Undeclared","130","125","59340","57540"
"In post","2022","Asian","London","G6/G7","Unknown","175","165","61670","60940"
"In post","2022","Asian","London","SCS level","Heterosexual / straight","185","185","90180","81800"
"In post","2022","Asian","London","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Asian","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","London","SCS level","Unknown","30","30","[c]","[c]"
"In post","2022","Asian","London","SEO/HEO","Heterosexual / straight","4185","4095","38570","37930"
"In post","2022","Asian","London","SEO/HEO","LGBO","115","110","38460","37930"
"In post","2022","Asian","London","SEO/HEO","Undeclared","265","260","38850","38480"
"In post","2022","Asian","London","SEO/HEO","Unknown","330","320","39630","38460"
"In post","2022","Asian","London","Unknown","Heterosexual / straight","175","170","32760","32090"
"In post","2022","Asian","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2022","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","AA/AO","Heterosexual / straight","4855","4345","21710","21260"
"In post","2022","Asian","Outside London","AA/AO","LGBO","125","115","21910","21250"
"In post","2022","Asian","Outside London","AA/AO","Undeclared","385","335","21530","21260"
"In post","2022","Asian","Outside London","AA/AO","Unknown","735","600","21600","21260"
"In post","2022","Asian","Outside London","EO","Heterosexual / straight","5065","4810","27080","27570"
"In post","2022","Asian","Outside London","EO","LGBO","120","115","27050","27570"
"In post","2022","Asian","Outside London","EO","Undeclared","285","260","27110","27570"
"In post","2022","Asian","Outside London","EO","Unknown","655","580","27310","27570"
"In post","2022","Asian","Outside London","G6/G7","Heterosexual / straight","1030","1005","56630","54770"
"In post","2022","Asian","Outside London","G6/G7","LGBO","20","20","[c]","[c]"
"In post","2022","Asian","Outside London","G6/G7","Undeclared","45","40","55780","54740"
"In post","2022","Asian","Outside London","G6/G7","Unknown","135","125","57210","55210"
"In post","2022","Asian","Outside London","SCS level","Heterosexual / straight","75","75","93430","92550"
"In post","2022","Asian","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Outside London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Outside London","SEO/HEO","Heterosexual / straight","3710","3595","35740","33370"
"In post","2022","Asian","Outside London","SEO/HEO","LGBO","80","75","36380","34230"
"In post","2022","Asian","Outside London","SEO/HEO","Undeclared","185","175","35900","33390"
"In post","2022","Asian","Outside London","SEO/HEO","Unknown","370","360","36110","33370"
"In post","2022","Asian","Outside London","Unknown","Heterosexual / straight","585","540","29290","27540"
"In post","2022","Asian","Outside London","Unknown","LGBO","15","15","[c]","[c]"
"In post","2022","Asian","Outside London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2022","Asian","Outside London","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G6/G7","Heterosexual / straight","35","35","58740","57320"
"In post","2022","Asian","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SEO/HEO","Heterosexual / straight","55","55","38530","34770"
"In post","2022","Asian","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA/AO","Heterosexual / straight","30","25","24100","25110"
"In post","2022","Asian","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","EO","Heterosexual / straight","65","60","29990","30330"
"In post","2022","Asian","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Asian","Unknown","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
