"Status","Year","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","London","14800","14035","38230","33550"
"In post","2022","Asian","Outside London","18515","17225","29710","27570"
"In post","2022","Asian","Overseas","170","165","45170","38600"
"In post","2022","Asian","Unknown","170","150","29660","29290"
"In post","2022","Black","London","10495","10140","35320","31650"
"In post","2022","Black","Outside London","6450","6140","30100","27570"
"In post","2022","Black","Overseas","75","75","44130","38600"
"In post","2022","Black","Unknown","60","60","33750","31060"
"In post","2022","Mixed","London","3595","3480","41700","36910"
"In post","2022","Mixed","Outside London","5425","5125","31520","27570"
"In post","2022","Mixed","Overseas","115","115","49870","49030"
"In post","2022","Mixed","Unknown","30","30","34330","28240"
"In post","2022","Other ethnicity","London","1305","1255","40770","35140"
"In post","2022","Other ethnicity","Outside London","1300","1225","32490","27570"
"In post","2022","Other ethnicity","Overseas","40","40","47330","43840"
"In post","2022","Other ethnicity","Unknown","5","5","[c]","[c]"
"In post","2022","Undeclared","London","4430","4220","42570","37660"
"In post","2022","Undeclared","Outside London","15495","14350","33120","29230"
"In post","2022","Undeclared","Overseas","240","235","47580","43020"
"In post","2022","Undeclared","Unknown","40","40","32390","30850"
"In post","2022","Unknown","London","16775","16380","43190","37610"
"In post","2022","Unknown","Outside London","52980","49900","30180","26820"
"In post","2022","Unknown","Overseas","520","515","49310","47170"
"In post","2022","Unknown","Unknown","2220","2205","37060","32700"
"In post","2022","White","London","53420","51440","47660","42470"
"In post","2022","White","Outside London","298095","276270","32250","27570"
"In post","2022","White","Overseas","2530","2520","50050","49810"
"In post","2022","White","Unknown","780","750","34610","30260"
"Leaver CS","2022","Asian","London","1135","[c]","37440","31060"
"Leaver CS","2022","Asian","Outside London","1240","[c]","29310","27190"
"Leaver CS","2022","Asian","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Black","London","855","[c]","34300","31060"
"Leaver CS","2022","Black","Outside London","585","[c]","29530","27570"
"Leaver CS","2022","Black","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Black","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","London","355","[c]","37880","31060"
"Leaver CS","2022","Mixed","Outside London","515","[c]","28020","26410"
"Leaver CS","2022","Mixed","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","London","135","[c]","39450","32590"
"Leaver CS","2022","Other ethnicity","Outside London","140","[c]","31110","27570"
"Leaver CS","2022","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","London","410","[c]","42870","37640"
"Leaver CS","2022","Undeclared","Outside London","1345","[c]","31300","27570"
"Leaver CS","2022","Undeclared","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","London","2265","[c]","39990","32360"
"Leaver CS","2022","Unknown","Outside London","6290","[c]","28880","25000"
"Leaver CS","2022","Unknown","Overseas","35","[c]","44220","41600"
"Leaver CS","2022","Unknown","Unknown","690","[c]","35340","31990"
"Leaver CS","2022","White","London","4485","[c]","44710","38600"
"Leaver CS","2022","White","Outside London","23085","[c]","31000","27570"
"Leaver CS","2022","White","Overseas","90","[c]","51570","45840"
"Leaver CS","2022","White","Unknown","460","[c]","27650","21840"
"Leaver Dept.","2022","Asian","London","1345","[c]","40170","33880"
"Leaver Dept.","2022","Asian","Outside London","1060","[c]","31590","27570"
"Leaver Dept.","2022","Asian","Overseas","[c]","[c]","[c]","[c]"
