"Status","Year","Disability","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Attorney General's Departments","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AO","Heterosexual / straight","145","130","22760","22200"
"In post","2022","Declared disabled","Attorney General's Departments","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","AO","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Heterosexual / straight","160","145","28130","28430"
"In post","2022","Declared disabled","Attorney General's Departments","EO","LGBO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","EO","Unknown","20","15","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","G6","Heterosexual / straight","70","65","70620","67950"
"In post","2022","Declared disabled","Attorney General's Departments","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","G6","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","G7","Heterosexual / straight","295","270","56070","55610"
"In post","2022","Declared disabled","Attorney General's Departments","G7","LGBO","35","30","55460","53050"
"In post","2022","Declared disabled","Attorney General's Departments","G7","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Attorney General's Departments","G7","Unknown","50","40","58260","55610"
"In post","2022","Declared disabled","Attorney General's Departments","HEO","Heterosexual / straight","95","90","35240","34480"
"In post","2022","Declared disabled","Attorney General's Departments","HEO","LGBO","10","10","[c]","[c]"
