"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","EO","25","20","27080","26850"
"In post","2022","Commercial","East Midlands (England)","G6","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","G7","25","25","56080","53360"
"In post","2022","Commercial","East Midlands (England)","HEO","25","25","32120","31990"
"In post","2022","Commercial","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","SEO","40","40","41440","39850"
"In post","2022","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","AO","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","EO","20","20","27000","26670"
"In post","2022","Commercial","East of England","G6","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","G7","15","15","54150","50460"
"In post","2022","Commercial","East of England","HEO","65","65","32040","31580"
"In post","2022","Commercial","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","SEO","80","80","41120","40580"
"In post","2022","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","AO","60","55","23530","23330"
"In post","2022","Commercial","London","EO","120","115","29050","28660"
"In post","2022","Commercial","London","G6","120","115","70330","68260"
"In post","2022","Commercial","London","G7","220","215","55970","54010"
"In post","2022","Commercial","London","HEO","210","205","35080","34710"
"In post","2022","Commercial","London","SCS level","55","50","84100","79350"
"In post","2022","Commercial","London","SEO","320","315","43430","42010"
"In post","2022","Commercial","London","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","North East (England)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","EO","25","25","26380","25400"
"In post","2022","Commercial","North East (England)","G6","10","10","63500","61650"
"In post","2022","Commercial","North East (England)","G7","20","20","50880","49860"
"In post","2022","Commercial","North East (England)","HEO","50","50","31670","31920"
"In post","2022","Commercial","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North East (England)","SEO","70","70","38850","36780"
"In post","2022","Commercial","North West (England)","AO","35","30","21350","21260"
"In post","2022","Commercial","North West (England)","EO","100","90","26480","26210"
"In post","2022","Commercial","North West (England)","G6","25","25","66510","64500"
"In post","2022","Commercial","North West (England)","G7","70","65","51650","50130"
"In post","2022","Commercial","North West (England)","HEO","160","155","31500","30940"
"In post","2022","Commercial","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","North West (England)","SEO","220","210","39730","39080"
"In post","2022","Commercial","North West (England)","Unknown","20","20","41840","41020"
"In post","2022","Commercial","Northern Ireland","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","G7","5","5","[c]","[c]"
"In post","2022","Commercial","Overseas","HEO","10","10","36720","34800"
"In post","2022","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","SEO","15","15","46590","46060"
"In post","2022","Commercial","Scotland","AA","20","15","21640","21640"
"In post","2022","Commercial","Scotland","AO","45","40","25450","26900"
"In post","2022","Commercial","Scotland","EO","50","50","27790","26670"
"In post","2022","Commercial","Scotland","G6","5","5","[c]","[c]"
"In post","2022","Commercial","Scotland","G7","25","25","52020","51960"
"In post","2022","Commercial","Scotland","HEO","75","75","34680","33930"
"In post","2022","Commercial","Scotland","SEO","60","60","42200","42080"
"In post","2022","Commercial","Scotland","Unknown","10","10","37610","32710"
"In post","2022","Commercial","South East (England)","AO","20","20","22420","22250"
"In post","2022","Commercial","South East (England)","EO","95","95","26390","26350"
"In post","2022","Commercial","South East (England)","G6","20","20","71250","69420"
"In post","2022","Commercial","South East (England)","G7","35","35","56520","55320"
