"Status","Year","Disability","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","AA/AO","Female","470","385","22630","21650"
"In post","2022","Declared disabled","Asian","AA/AO","Male","335","310","22810","21260"
"In post","2022","Declared disabled","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","EO","Female","650","575","28750","28200"
"In post","2022","Declared disabled","Asian","EO","Male","455","435","28380","27570"
"In post","2022","Declared disabled","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","G6/G7","Female","165","160","58340","57430"
"In post","2022","Declared disabled","Asian","G6/G7","Male","120","115","59490","57870"
"In post","2022","Declared disabled","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","SEO/HEO","Female","420","400","37200","36650"
"In post","2022","Declared disabled","Asian","SEO/HEO","Male","365","355","37790","36770"
"In post","2022","Declared disabled","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Unknown","Female","90","85","30200","28200"
"In post","2022","Declared disabled","Asian","Unknown","Male","40","35","29240","28200"
"In post","2022","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","AA/AO","Female","330","285","23880","23720"
"In post","2022","Declared disabled","Black","AA/AO","Male","135","130","24570","23310"
"In post","2022","Declared disabled","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","EO","Female","555","515","29570","30090"
"In post","2022","Declared disabled","Black","EO","Male","175","170","29440","29290"
"In post","2022","Declared disabled","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","G6/G7","Female","110","110","58050","55950"
"In post","2022","Declared disabled","Black","G6/G7","Male","50","45","58610","57030"
"In post","2022","Declared disabled","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","SEO/HEO","Female","310","305","37860","37300"
"In post","2022","Declared disabled","Black","SEO/HEO","Male","130","125","37790","36650"
"In post","2022","Declared disabled","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Unknown","Female","205","195","32530","30880"
"In post","2022","Declared disabled","Black","Unknown","Male","55","55","33970","32690"
"In post","2022","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","AA/AO","Female","195","175","22290","21260"
"In post","2022","Declared disabled","Mixed","AA/AO","Male","120","115","23730","21680"
"In post","2022","Declared disabled","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","EO","Female","250","230","28270","27570"
"In post","2022","Declared disabled","Mixed","EO","Male","145","140","28710","27570"
"In post","2022","Declared disabled","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","G6/G7","Female","100","95","57990","56420"
"In post","2022","Declared disabled","Mixed","G6/G7","Male","65","65","58040","55610"
"In post","2022","Declared disabled","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","SEO/HEO","Female","225","215","36460","35030"
"In post","2022","Declared disabled","Mixed","SEO/HEO","Male","130","125","38130","36620"
"In post","2022","Declared disabled","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Unknown","Female","100","95","32680","31420"
"In post","2022","Declared disabled","Mixed","Unknown","Male","40","35","31020","28710"
"In post","2022","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","Male","40","40","23460","21260"
"In post","2022","Declared disabled","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","EO","Female","70","65","28840","27710"
"In post","2022","Declared disabled","Other ethnicity","EO","Male","45","45","28620","27570"
"In post","2022","Declared disabled","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","Female","25","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","Male","30","25","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Other ethnicity","SEO/HEO","Female","60","55","36580","35750"
