"Status","Year","Profession_of_post","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Female","55","50","40010","38550"
"In post","2022","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Male","35","35","45710","44330"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2022","Commercial","East Midlands (England)","Lincolnshire","Male","10","10","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Female","5","5","[c]","[c]"
"In post","2022","Commercial","East of England","Bedfordshire and Hertfordshire","Male","10","10","[c]","[c]"
"In post","2022","Commercial","East of England","East Anglia","Female","105","100","36620","36110"
"In post","2022","Commercial","East of England","East Anglia","Male","80","75","39700","37190"
"In post","2022","Commercial","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East of England","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Inner London - East","Female","50","45","41910","41750"
"In post","2022","Commercial","London","Inner London - East","Male","55","55","50480","47650"
"In post","2022","Commercial","London","Inner London - West","Female","435","420","45910","41750"
"In post","2022","Commercial","London","Inner London - West","Male","380","375","49920","45600"
"In post","2022","Commercial","London","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","London","Outer London - East and North East","Male","5","5","[c]","[c]"
"In post","2022","Commercial","London","Outer London - South","Female","70","70","42780","41950"
"In post","2022","Commercial","London","Outer London - South","Male","40","40","43920","42060"
"In post","2022","Commercial","London","Outer London - West and North West","Female","25","25","[c]","[c]"
"In post","2022","Commercial","London","Outer London - West and North West","Male","40","35","37950","34770"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","Female","45","40","35870","34290"
"In post","2022","Commercial","North East (England)","Northumberland, and Tyne and Wear","Male","40","40","39340","36500"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","Female","55","50","36760","36500"
"In post","2022","Commercial","North East (England)","Tees Valley and Durham","Male","45","45","41320","37100"
"In post","2022","Commercial","North West (England)","Cheshire","Female","20","20","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cheshire","Male","5","5","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cumbria","Female","10","10","[c]","[c]"
"In post","2022","Commercial","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2022","Commercial","North West (England)","Greater Manchester","Female","135","130","38970","36780"
"In post","2022","Commercial","North West (England)","Greater Manchester","Male","105","105","39460","36500"
"In post","2022","Commercial","North West (England)","Lancashire","Female","50","45","36830","32080"
"In post","2022","Commercial","North West (England)","Lancashire","Male","15","15","[c]","[c]"
"In post","2022","Commercial","North West (England)","Merseyside","Female","170","160","33790","30940"
"In post","2022","Commercial","North West (England)","Merseyside","Male","110","105","36750","38330"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","Female","5","5","[c]","[c]"
"In post","2022","Commercial","Northern Ireland","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2022","Commercial","Overseas","Overseas","Male","30","30","52140","51040"
"In post","2022","Commercial","Scotland","Eastern Scotland","Female","45","40","31740","27020"
"In post","2022","Commercial","Scotland","Eastern Scotland","Male","60","60","36580","33730"
